workload,config,cycles,instret,stall_data,stall_fetch,stall_memory,flush,hw_branches,hw_mispredict,measured_branches,measured_mispredict,icache_hits,icache_misses,dcache_hits,dcache_misses,stores,config_name,cpi,ipc,sim_clock_mhz,modeled_time_us,modeled_mips,branch_accuracy_excluding_terminal,routed_fmax_estimate_mhz,routed_time_estimate_us,routed_mips_estimate,verified_clock_mhz,verified_time_us,verified_mips,same_clock_speedup_vs_sc,same_clock_speedup_vs_pbase,required_frequency_ratio_vs_sc
branch_loop,3,670,386,0,24,0,129,256,129,255,128,515,2,0,0,0,P-CACHE 双 Cache,1.7357512953367875,0.5761194029850746,100,6.7,57.61194029850746,0.4980392156862745,,,,,,,0.5761194029850746,1.9238805970149253,1.7357512953367875
branch_loop,4,1163,386,0,773,0,3,256,3,255,2,0,0,0,0,0,P-BP 分支预测,3.0129533678756477,0.33190025795356837,100,11.63,33.19002579535684,0.9921568627450981,,,,,,,0.33190025795356837,1.108340498710232,3.0129533678756477
branch_loop,5,418,386,0,24,0,3,256,3,255,2,389,2,0,0,0,P-FULL 双 Cache + 预测,1.0829015544041452,0.9234449760765551,100,4.18,92.3444976076555,0.9921568627450981,,,,,,,0.9234449760765551,3.083732057416268,1.0829015544041452
branch_steady,0,6002,6002,0,0,0,0,0,0,3999,0,0,0,0,0,0,SC 原单周期,1.0,1.0,100,60.02,100.0,,85.71918395336876,70.019332,85.71918395336876,83.33333333333333,72.024,83.33333333333333,1.0,3.3337220926357882,1.0
branch_steady,1,10006,6002,0,0,0,2001,4000,2001,3999,2000,0,0,0,0,0,P-IDEAL 理想存储流水线,1.6671109630123293,0.5998400959424346,100,100.06,59.98400959424345,0.4998749687421855,93.79983116030391,106.67396600000001,56.26489972258086,90.9090909090909,110.066,54.530917812948594,0.5998400959424346,1.9997001798920648,1.6671109630123293
branch_steady,2,20009,6002,0,12005,0,2001,4000,2001,3999,2000,0,0,0,0,0,P-BASE 同步存储流水线,3.3337220926357882,0.2999650157429157,100,200.09,29.996501574291567,0.4998749687421855,,,,,,,0.2999650157429157,1.0,3.3337220926357882
branch_steady,3,10030,6002,0,24,0,2001,4000,2001,3999,2000,8003,2,0,0,0,P-CACHE 双 Cache,1.6711096301232922,0.5984047856430708,100,100.3,59.84047856430708,0.4998749687421855,,,,,,,0.5984047856430708,1.994915254237288,1.6711096301232922
branch_steady,4,18011,6002,0,12005,0,3,4000,3,3999,2,0,0,0,0,0,P-BP 分支预测,3.0008330556481173,0.3332407972905447,100,180.11,33.32407972905447,0.9994998749687422,,,,,,,0.3332407972905447,1.110932208095053,3.0008330556481173
branch_steady,5,6034,6002,0,24,0,3,4000,3,3999,2,6005,2,0,0,0,P-FULL 双 Cache + 预测,1.0053315561479508,0.9946967185946304,100,60.34,99.46967185946305,0.9994998749687422,,,,,,,0.9946967185946304,3.316042426251243,1.0053315561479508
load_use_sum,0,786,786,0,0,0,0,0,0,259,0,0,0,0,0,0,SC 原单周期,1.0,1.0,100,7.86,100.0,,85.71918395336876,9.169476000000001,85.71918395336876,83.33333333333333,9.432,83.33333333333333,1.0,3.6603053435114505,1.0
load_use_sum,1,1182,786,128,0,0,133,260,133,259,132,0,0,0,0,0,P-IDEAL 理想存储流水线,1.5038167938931297,0.6649746192893401,100,11.82,66.49746192893402,0.49034749034749037,93.79983116030391,12.601302,62.37450701522748,90.9090909090909,13.002,60.45223811721274,0.6649746192893401,2.434010152284264,1.5038167938931297
load_use_sum,2,2877,786,0,1829,128,133,260,133,259,132,0,0,0,0,0,P-BASE 同步存储流水线,3.6603053435114505,0.2732012513034411,100,28.77,27.32012513034411,0.49034749034749037,,,,,,,0.2732012513034411,1.0,3.6603053435114505
load_use_sum,3,1326,786,128,48,96,133,260,133,259,132,917,4,120,8,0,P-CACHE 双 Cache,1.6870229007633588,0.5927601809954751,100,13.26,59.276018099547514,0.49034749034749037,,,,,,,0.5927601809954751,2.169683257918552,1.6870229007633588
load_use_sum,4,2752,786,0,1829,128,8,260,8,259,7,0,0,0,0,0,P-BP 分支预测,3.5012722646310435,0.2856104651162791,100,27.52,28.561046511627907,0.972972972972973,,,,,,,0.2856104651162791,1.045421511627907,3.5012722646310435
load_use_sum,5,1076,786,128,48,96,8,260,8,259,7,792,4,120,8,0,P-FULL 双 Cache + 预测,1.3689567430025444,0.7304832713754646,100,10.76,73.04832713754647,0.972972972972973,,,,,,,0.7304832713754646,2.673791821561338,1.3689567430025444
memory_copy,0,227,227,0,0,0,0,0,0,63,0,0,0,0,0,32,SC 原单周期,1.0,1.0,100,2.27,100.0,,85.71918395336876,2.6481820000000003,85.71918395336876,83.33333333333333,2.724,83.33333333333333,1.0,4.0,1.0
memory_copy,1,327,227,32,0,0,33,64,33,63,32,0,0,0,0,32,P-IDEAL 理想存储流水线,1.4405286343612336,0.6941896024464832,100,3.27,69.41896024464832,0.4920634920634921,93.79983116030391,3.486147,65.11486750271862,90.9090909090909,3.597,63.108145676953015,0.6941896024464832,2.776758409785933,1.4405286343612336
memory_copy,2,908,227,0,583,64,33,64,33,63,32,0,0,0,0,32,P-BASE 同步存储流水线,4.0,0.25,100,9.08,25.0,0.4920634920634921,,,,,,,0.25,1.0,4.0
memory_copy,3,480,227,31,26,128,33,64,33,63,32,260,3,24,40,32,P-CACHE 双 Cache,2.1145374449339207,0.47291666666666665,100,4.8,47.291666666666664,0.4920634920634921,,,,,,,0.47291666666666665,1.8916666666666666,2.1145374449339207
memory_copy,4,878,227,0,583,64,3,64,3,63,2,0,0,0,0,32,P-BP 分支预测,3.86784140969163,0.25854214123006836,100,8.78,25.854214123006834,0.9682539682539683,,,,,,,0.25854214123006836,1.0341685649202734,3.86784140969163
memory_copy,5,420,227,31,26,128,3,64,3,63,2,230,3,24,40,32,P-FULL 双 Cache + 预测,1.8502202643171806,0.5404761904761904,100,4.2,54.04761904761905,0.9682539682539683,,,,,,,0.5404761904761904,2.1619047619047618,1.8502202643171806
