design,top,device,constraint_ns,wns_ns,routed_critical_period_ns,routed_fmax_estimate_mhz,verified_period_ns,verified_clock_mhz,verified_wns_ns,slice_luts,slice_registers,bram_tiles
SC 原单周期,perf_legacy_synth_top,xc7a35tcsg324-1,2.0,-9.666,11.666,85.71918395336876,12.0,83.33333333333333,0.334,723,352,0
P-IDEAL 理想存储流水线,perf_pipeline_synth_top,xc7a35tcsg324-1,2.0,-8.661,10.661,93.79983116030391,11.0,90.9090909090909,0.339,1997,2051,0
