cycle,index,pc,instruction,rd,value
17,0,00000000,00000093,1,00000000
18,1,00000004,00400213,4,00000004
19,2,00000008,00000113,2,00000000
20,3,0000000c,02000193,3,00000020
45,4,00000010,00012283,5,00000001
47,5,00000014,005080b3,1,00000001
48,6,00000018,00410113,2,00000004
49,7,0000001c,fff18193,3,0000001f
62,8,00000020,00018463,0,00000000
63,9,00000024,fe0006e3,0,00000000
66,10,00000010,00012283,5,00000002
68,11,00000014,005080b3,1,00000003
69,12,00000018,00410113,2,00000008
70,13,0000001c,fff18193,3,0000001e
71,14,00000020,00018463,0,00000000
72,15,00000024,fe0006e3,0,00000000
75,16,00000010,00012283,5,00000003
77,17,00000014,005080b3,1,00000006
78,18,00000018,00410113,2,0000000c
79,19,0000001c,fff18193,3,0000001d
80,20,00000020,00018463,0,00000000
81,21,00000024,fe0006e3,0,00000000
84,22,00000010,00012283,5,00000004
86,23,00000014,005080b3,1,0000000a
87,24,00000018,00410113,2,00000010
88,25,0000001c,fff18193,3,0000001c
89,26,00000020,00018463,0,00000000
90,27,00000024,fe0006e3,0,00000000
105,28,00000010,00012283,5,00000005
107,29,00000014,005080b3,1,0000000f
108,30,00000018,00410113,2,00000014
109,31,0000001c,fff18193,3,0000001b
110,32,00000020,00018463,0,00000000
111,33,00000024,fe0006e3,0,00000000
114,34,00000010,00012283,5,00000006
116,35,00000014,005080b3,1,00000015
117,36,00000018,00410113,2,00000018
118,37,0000001c,fff18193,3,0000001a
119,38,00000020,00018463,0,00000000
120,39,00000024,fe0006e3,0,00000000
123,40,00000010,00012283,5,00000007
125,41,00000014,005080b3,1,0000001c
126,42,00000018,00410113,2,0000001c
127,43,0000001c,fff18193,3,00000019
128,44,00000020,00018463,0,00000000
129,45,00000024,fe0006e3,0,00000000
132,46,00000010,00012283,5,00000008
134,47,00000014,005080b3,1,00000024
135,48,00000018,00410113,2,00000020
136,49,0000001c,fff18193,3,00000018
137,50,00000020,00018463,0,00000000
138,51,00000024,fe0006e3,0,00000000
153,52,00000010,00012283,5,00000009
155,53,00000014,005080b3,1,0000002d
156,54,00000018,00410113,2,00000024
157,55,0000001c,fff18193,3,00000017
158,56,00000020,00018463,0,00000000
159,57,00000024,fe0006e3,0,00000000
162,58,00000010,00012283,5,0000000a
164,59,00000014,005080b3,1,00000037
165,60,00000018,00410113,2,00000028
166,61,0000001c,fff18193,3,00000016
167,62,00000020,00018463,0,00000000
168,63,00000024,fe0006e3,0,00000000
171,64,00000010,00012283,5,0000000b
173,65,00000014,005080b3,1,00000042
174,66,00000018,00410113,2,0000002c
175,67,0000001c,fff18193,3,00000015
176,68,00000020,00018463,0,00000000
177,69,00000024,fe0006e3,0,00000000
180,70,00000010,00012283,5,0000000c
182,71,00000014,005080b3,1,0000004e
183,72,00000018,00410113,2,00000030
184,73,0000001c,fff18193,3,00000014
185,74,00000020,00018463,0,00000000
186,75,00000024,fe0006e3,0,00000000
201,76,00000010,00012283,5,0000000d
203,77,00000014,005080b3,1,0000005b
204,78,00000018,00410113,2,00000034
205,79,0000001c,fff18193,3,00000013
206,80,00000020,00018463,0,00000000
207,81,00000024,fe0006e3,0,00000000
210,82,00000010,00012283,5,0000000e
212,83,00000014,005080b3,1,00000069
213,84,00000018,00410113,2,00000038
214,85,0000001c,fff18193,3,00000012
215,86,00000020,00018463,0,00000000
216,87,00000024,fe0006e3,0,00000000
219,88,00000010,00012283,5,0000000f
221,89,00000014,005080b3,1,00000078
222,90,00000018,00410113,2,0000003c
223,91,0000001c,fff18193,3,00000011
224,92,00000020,00018463,0,00000000
225,93,00000024,fe0006e3,0,00000000
228,94,00000010,00012283,5,00000010
230,95,00000014,005080b3,1,00000088
231,96,00000018,00410113,2,00000040
232,97,0000001c,fff18193,3,00000010
233,98,00000020,00018463,0,00000000
234,99,00000024,fe0006e3,0,00000000
249,100,00000010,00012283,5,00000011
251,101,00000014,005080b3,1,00000099
252,102,00000018,00410113,2,00000044
253,103,0000001c,fff18193,3,0000000f
254,104,00000020,00018463,0,00000000
255,105,00000024,fe0006e3,0,00000000
258,106,00000010,00012283,5,00000012
260,107,00000014,005080b3,1,000000ab
261,108,00000018,00410113,2,00000048
262,109,0000001c,fff18193,3,0000000e
263,110,00000020,00018463,0,00000000
264,111,00000024,fe0006e3,0,00000000
267,112,00000010,00012283,5,00000013
269,113,00000014,005080b3,1,000000be
270,114,00000018,00410113,2,0000004c
271,115,0000001c,fff18193,3,0000000d
272,116,00000020,00018463,0,00000000
273,117,00000024,fe0006e3,0,00000000
276,118,00000010,00012283,5,00000014
278,119,00000014,005080b3,1,000000d2
279,120,00000018,00410113,2,00000050
280,121,0000001c,fff18193,3,0000000c
281,122,00000020,00018463,0,00000000
282,123,00000024,fe0006e3,0,00000000
297,124,00000010,00012283,5,00000015
299,125,00000014,005080b3,1,000000e7
