cycle,index,pc,instruction,rd,value
17,0,00000000,00000093,1,00000000
18,1,00000004,00400213,4,00000004
19,2,00000008,00000113,2,00000000
20,3,0000000c,02000193,3,00000020
45,4,00000010,00012283,5,00000001
47,5,00000014,005080b3,1,00000001
48,6,00000018,00410113,2,00000004
49,7,0000001c,fff18193,3,0000001f
62,8,00000020,00018463,0,00000000
63,9,00000024,fe0006e3,0,00000000
66,10,00000010,00012283,5,00000002
68,11,00000014,005080b3,1,00000003
69,12,00000018,00410113,2,00000008
70,13,0000001c,fff18193,3,0000001e
71,14,00000020,00018463,0,00000000
72,15,00000024,fe0006e3,0,00000000
73,16,00000010,00012283,5,00000003
75,17,00000014,005080b3,1,00000006
76,18,00000018,00410113,2,0000000c
77,19,0000001c,fff18193,3,0000001d
78,20,00000020,00018463,0,00000000
79,21,00000024,fe0006e3,0,00000000
80,22,00000010,00012283,5,00000004
82,23,00000014,005080b3,1,0000000a
83,24,00000018,00410113,2,00000010
84,25,0000001c,fff18193,3,0000001c
85,26,00000020,00018463,0,00000000
86,27,00000024,fe0006e3,0,00000000
99,28,00000010,00012283,5,00000005
101,29,00000014,005080b3,1,0000000f
102,30,00000018,00410113,2,00000014
103,31,0000001c,fff18193,3,0000001b
104,32,00000020,00018463,0,00000000
105,33,00000024,fe0006e3,0,00000000
106,34,00000010,00012283,5,00000006
108,35,00000014,005080b3,1,00000015
109,36,00000018,00410113,2,00000018
110,37,0000001c,fff18193,3,0000001a
111,38,00000020,00018463,0,00000000
112,39,00000024,fe0006e3,0,00000000
113,40,00000010,00012283,5,00000007
115,41,00000014,005080b3,1,0000001c
116,42,00000018,00410113,2,0000001c
117,43,0000001c,fff18193,3,00000019
118,44,00000020,00018463,0,00000000
119,45,00000024,fe0006e3,0,00000000
120,46,00000010,00012283,5,00000008
122,47,00000014,005080b3,1,00000024
123,48,00000018,00410113,2,00000020
124,49,0000001c,fff18193,3,00000018
125,50,00000020,00018463,0,00000000
126,51,00000024,fe0006e3,0,00000000
139,52,00000010,00012283,5,00000009
141,53,00000014,005080b3,1,0000002d
142,54,00000018,00410113,2,00000024
143,55,0000001c,fff18193,3,00000017
144,56,00000020,00018463,0,00000000
145,57,00000024,fe0006e3,0,00000000
146,58,00000010,00012283,5,0000000a
148,59,00000014,005080b3,1,00000037
149,60,00000018,00410113,2,00000028
150,61,0000001c,fff18193,3,00000016
151,62,00000020,00018463,0,00000000
152,63,00000024,fe0006e3,0,00000000
153,64,00000010,00012283,5,0000000b
155,65,00000014,005080b3,1,00000042
156,66,00000018,00410113,2,0000002c
157,67,0000001c,fff18193,3,00000015
158,68,00000020,00018463,0,00000000
159,69,00000024,fe0006e3,0,00000000
160,70,00000010,00012283,5,0000000c
162,71,00000014,005080b3,1,0000004e
163,72,00000018,00410113,2,00000030
164,73,0000001c,fff18193,3,00000014
165,74,00000020,00018463,0,00000000
166,75,00000024,fe0006e3,0,00000000
179,76,00000010,00012283,5,0000000d
181,77,00000014,005080b3,1,0000005b
182,78,00000018,00410113,2,00000034
183,79,0000001c,fff18193,3,00000013
184,80,00000020,00018463,0,00000000
185,81,00000024,fe0006e3,0,00000000
186,82,00000010,00012283,5,0000000e
188,83,00000014,005080b3,1,00000069
189,84,00000018,00410113,2,00000038
190,85,0000001c,fff18193,3,00000012
191,86,00000020,00018463,0,00000000
192,87,00000024,fe0006e3,0,00000000
193,88,00000010,00012283,5,0000000f
195,89,00000014,005080b3,1,00000078
196,90,00000018,00410113,2,0000003c
197,91,0000001c,fff18193,3,00000011
198,92,00000020,00018463,0,00000000
199,93,00000024,fe0006e3,0,00000000
200,94,00000010,00012283,5,00000010
202,95,00000014,005080b3,1,00000088
203,96,00000018,00410113,2,00000040
204,97,0000001c,fff18193,3,00000010
205,98,00000020,00018463,0,00000000
206,99,00000024,fe0006e3,0,00000000
219,100,00000010,00012283,5,00000011
221,101,00000014,005080b3,1,00000099
222,102,00000018,00410113,2,00000044
223,103,0000001c,fff18193,3,0000000f
224,104,00000020,00018463,0,00000000
225,105,00000024,fe0006e3,0,00000000
226,106,00000010,00012283,5,00000012
228,107,00000014,005080b3,1,000000ab
229,108,00000018,00410113,2,00000048
230,109,0000001c,fff18193,3,0000000e
231,110,00000020,00018463,0,00000000
232,111,00000024,fe0006e3,0,00000000
233,112,00000010,00012283,5,00000013
235,113,00000014,005080b3,1,000000be
236,114,00000018,00410113,2,0000004c
237,115,0000001c,fff18193,3,0000000d
238,116,00000020,00018463,0,00000000
239,117,00000024,fe0006e3,0,00000000
240,118,00000010,00012283,5,00000014
242,119,00000014,005080b3,1,000000d2
243,120,00000018,00410113,2,00000050
244,121,0000001c,fff18193,3,0000000c
245,122,00000020,00018463,0,00000000
246,123,00000024,fe0006e3,0,00000000
259,124,00000010,00012283,5,00000015
261,125,00000014,005080b3,1,000000e7
