cycle,index,pc,instruction,rd,value
6,0,00000000,00000013,0,00000000
9,1,00000004,00108093,1,00000001
12,2,00000008,00108093,1,00000002
15,3,0000000c,00108093,1,00000003
18,4,00000010,00108093,1,00000004
21,5,00000014,00108093,1,00000005
24,6,00000018,00108093,1,00000006
27,7,0000001c,00108093,1,00000007
30,8,00000020,00108093,1,00000008
33,9,00000024,00108093,1,00000009
36,10,00000028,00108093,1,0000000a
39,11,0000002c,00108093,1,0000000b
42,12,00000030,00108093,1,0000000c
45,13,00000034,00108093,1,0000000d
48,14,00000038,00108093,1,0000000e
51,15,0000003c,00108093,1,0000000f
54,16,00000040,00108093,1,00000010
57,17,00000044,00108093,1,00000011
60,18,00000048,00108093,1,00000012
63,19,0000004c,00108093,1,00000013
66,20,00000050,00108093,1,00000014
69,21,00000054,00108093,1,00000015
72,22,00000058,00108093,1,00000016
75,23,0000005c,00108093,1,00000017
78,24,00000060,00108093,1,00000018
81,25,00000064,00108093,1,00000019
84,26,00000068,00108093,1,0000001a
87,27,0000006c,00108093,1,0000001b
90,28,00000070,00108093,1,0000001c
93,29,00000074,00108093,1,0000001d
96,30,00000078,00108093,1,0000001e
99,31,0000007c,00108093,1,0000001f
102,32,00000080,00108093,1,00000020
105,33,00000084,00108093,1,00000021
108,34,00000088,00108093,1,00000022
111,35,0000008c,00108093,1,00000023
114,36,00000090,00108093,1,00000024
117,37,00000094,00108093,1,00000025
120,38,00000098,00108093,1,00000026
123,39,0000009c,00108093,1,00000027
126,40,000000a0,00108093,1,00000028
129,41,000000a4,00108093,1,00000029
132,42,000000a8,00108093,1,0000002a
135,43,000000ac,00108093,1,0000002b
138,44,000000b0,00108093,1,0000002c
141,45,000000b4,00108093,1,0000002d
144,46,000000b8,00108093,1,0000002e
147,47,000000bc,00108093,1,0000002f
150,48,000000c0,00108093,1,00000030
153,49,000000c4,00108093,1,00000031
156,50,000000c8,00108093,1,00000032
159,51,000000cc,00108093,1,00000033
162,52,000000d0,00108093,1,00000034
165,53,000000d4,00108093,1,00000035
168,54,000000d8,00108093,1,00000036
171,55,000000dc,00108093,1,00000037
174,56,000000e0,00108093,1,00000038
177,57,000000e4,00108093,1,00000039
180,58,000000e8,00108093,1,0000003a
183,59,000000ec,00108093,1,0000003b
186,60,000000f0,00108093,1,0000003c
189,61,000000f4,00108093,1,0000003d
192,62,000000f8,00108093,1,0000003e
195,63,000000fc,00108093,1,0000003f
198,64,00000100,00108093,1,00000040
201,65,00000104,00108093,1,00000041
204,66,00000108,00108093,1,00000042
207,67,0000010c,00108093,1,00000043
210,68,00000110,00108093,1,00000044
213,69,00000114,00108093,1,00000045
216,70,00000118,00108093,1,00000046
219,71,0000011c,00108093,1,00000047
222,72,00000120,00108093,1,00000048
225,73,00000124,00108093,1,00000049
228,74,00000128,00108093,1,0000004a
231,75,0000012c,00108093,1,0000004b
234,76,00000130,00108093,1,0000004c
237,77,00000134,00108093,1,0000004d
240,78,00000138,00108093,1,0000004e
243,79,0000013c,00108093,1,0000004f
246,80,00000140,00108093,1,00000050
249,81,00000144,00108093,1,00000051
252,82,00000148,00108093,1,00000052
255,83,0000014c,00108093,1,00000053
258,84,00000150,00108093,1,00000054
261,85,00000154,00108093,1,00000055
264,86,00000158,00108093,1,00000056
267,87,0000015c,00108093,1,00000057
270,88,00000160,00108093,1,00000058
273,89,00000164,00108093,1,00000059
276,90,00000168,00108093,1,0000005a
279,91,0000016c,00108093,1,0000005b
282,92,00000170,00108093,1,0000005c
285,93,00000174,00108093,1,0000005d
288,94,00000178,00108093,1,0000005e
291,95,0000017c,00108093,1,0000005f
294,96,00000180,00108093,1,00000060
297,97,00000184,00108093,1,00000061
300,98,00000188,00108093,1,00000062
303,99,0000018c,00108093,1,00000063
306,100,00000190,00108093,1,00000064
309,101,00000194,00108093,1,00000065
312,102,00000198,00108093,1,00000066
315,103,0000019c,00108093,1,00000067
318,104,000001a0,00108093,1,00000068
321,105,000001a4,00108093,1,00000069
324,106,000001a8,00108093,1,0000006a
327,107,000001ac,00108093,1,0000006b
330,108,000001b0,00108093,1,0000006c
333,109,000001b4,00108093,1,0000006d
336,110,000001b8,00108093,1,0000006e
339,111,000001bc,00108093,1,0000006f
342,112,000001c0,00108093,1,00000070
345,113,000001c4,00108093,1,00000071
348,114,000001c8,00108093,1,00000072
351,115,000001cc,00108093,1,00000073
354,116,000001d0,00108093,1,00000074
357,117,000001d4,00108093,1,00000075
360,118,000001d8,00108093,1,00000076
363,119,000001dc,00108093,1,00000077
366,120,000001e0,00108093,1,00000078
369,121,000001e4,00108093,1,00000079
372,122,000001e8,00108093,1,0000007a
375,123,000001ec,00108093,1,0000007b
378,124,000001f0,00108093,1,0000007c
381,125,000001f4,00108093,1,0000007d
384,126,000001f8,00108093,1,0000007e
387,127,000001fc,00108093,1,0000007f
390,128,00000200,00108093,1,00000080
393,129,00000204,00108093,1,00000081
396,130,00000208,00108093,1,00000082
399,131,0000020c,00108093,1,00000083
402,132,00000210,00108093,1,00000084
405,133,00000214,00108093,1,00000085
408,134,00000218,00108093,1,00000086
411,135,0000021c,00108093,1,00000087
414,136,00000220,00108093,1,00000088
417,137,00000224,00108093,1,00000089
420,138,00000228,00108093,1,0000008a
423,139,0000022c,00108093,1,0000008b
426,140,00000230,00108093,1,0000008c
429,141,00000234,00108093,1,0000008d
432,142,00000238,00108093,1,0000008e
435,143,0000023c,00108093,1,0000008f
438,144,00000240,00108093,1,00000090
441,145,00000244,00108093,1,00000091
444,146,00000248,00108093,1,00000092
447,147,0000024c,00108093,1,00000093
450,148,00000250,00108093,1,00000094
453,149,00000254,00108093,1,00000095
456,150,00000258,00108093,1,00000096
459,151,0000025c,00108093,1,00000097
462,152,00000260,00108093,1,00000098
465,153,00000264,00108093,1,00000099
468,154,00000268,00108093,1,0000009a
471,155,0000026c,00108093,1,0000009b
474,156,00000270,00108093,1,0000009c
477,157,00000274,00108093,1,0000009d
480,158,00000278,00108093,1,0000009e
483,159,0000027c,00108093,1,0000009f
486,160,00000280,00108093,1,000000a0
489,161,00000284,00108093,1,000000a1
492,162,00000288,00108093,1,000000a2
495,163,0000028c,00108093,1,000000a3
498,164,00000290,00108093,1,000000a4
501,165,00000294,00108093,1,000000a5
504,166,00000298,00108093,1,000000a6
507,167,0000029c,00108093,1,000000a7
510,168,000002a0,00108093,1,000000a8
513,169,000002a4,00108093,1,000000a9
516,170,000002a8,00108093,1,000000aa
519,171,000002ac,00108093,1,000000ab
522,172,000002b0,00108093,1,000000ac
525,173,000002b4,00108093,1,000000ad
528,174,000002b8,00108093,1,000000ae
531,175,000002bc,00108093,1,000000af
534,176,000002c0,00108093,1,000000b0
537,177,000002c4,00108093,1,000000b1
540,178,000002c8,00108093,1,000000b2
543,179,000002cc,00108093,1,000000b3
546,180,000002d0,00108093,1,000000b4
549,181,000002d4,00108093,1,000000b5
552,182,000002d8,00108093,1,000000b6
555,183,000002dc,00108093,1,000000b7
558,184,000002e0,00108093,1,000000b8
561,185,000002e4,00108093,1,000000b9
564,186,000002e8,00108093,1,000000ba
567,187,000002ec,00108093,1,000000bb
570,188,000002f0,00108093,1,000000bc
573,189,000002f4,00108093,1,000000bd
576,190,000002f8,00108093,1,000000be
579,191,000002fc,00108093,1,000000bf
582,192,00000300,00108093,1,000000c0
585,193,00000304,00000063,0,00000000
