cycle,index,pc,instruction,rd,value
5,0,00000000,00000093,1,00000000
6,1,00000004,08000113,2,00000080
7,2,00000008,00108093,1,00000001
8,3,0000000c,00208463,0,00000000
9,4,00000010,fe000ce3,0,00000000
12,5,00000008,00108093,1,00000002
13,6,0000000c,00208463,0,00000000
14,7,00000010,fe000ce3,0,00000000
17,8,00000008,00108093,1,00000003
18,9,0000000c,00208463,0,00000000
19,10,00000010,fe000ce3,0,00000000
22,11,00000008,00108093,1,00000004
23,12,0000000c,00208463,0,00000000
24,13,00000010,fe000ce3,0,00000000
27,14,00000008,00108093,1,00000005
28,15,0000000c,00208463,0,00000000
29,16,00000010,fe000ce3,0,00000000
32,17,00000008,00108093,1,00000006
33,18,0000000c,00208463,0,00000000
34,19,00000010,fe000ce3,0,00000000
37,20,00000008,00108093,1,00000007
38,21,0000000c,00208463,0,00000000
39,22,00000010,fe000ce3,0,00000000
42,23,00000008,00108093,1,00000008
43,24,0000000c,00208463,0,00000000
44,25,00000010,fe000ce3,0,00000000
47,26,00000008,00108093,1,00000009
48,27,0000000c,00208463,0,00000000
49,28,00000010,fe000ce3,0,00000000
52,29,00000008,00108093,1,0000000a
53,30,0000000c,00208463,0,00000000
54,31,00000010,fe000ce3,0,00000000
57,32,00000008,00108093,1,0000000b
58,33,0000000c,00208463,0,00000000
59,34,00000010,fe000ce3,0,00000000
62,35,00000008,00108093,1,0000000c
63,36,0000000c,00208463,0,00000000
64,37,00000010,fe000ce3,0,00000000
67,38,00000008,00108093,1,0000000d
68,39,0000000c,00208463,0,00000000
69,40,00000010,fe000ce3,0,00000000
72,41,00000008,00108093,1,0000000e
73,42,0000000c,00208463,0,00000000
74,43,00000010,fe000ce3,0,00000000
77,44,00000008,00108093,1,0000000f
78,45,0000000c,00208463,0,00000000
79,46,00000010,fe000ce3,0,00000000
82,47,00000008,00108093,1,00000010
83,48,0000000c,00208463,0,00000000
84,49,00000010,fe000ce3,0,00000000
87,50,00000008,00108093,1,00000011
88,51,0000000c,00208463,0,00000000
89,52,00000010,fe000ce3,0,00000000
92,53,00000008,00108093,1,00000012
93,54,0000000c,00208463,0,00000000
94,55,00000010,fe000ce3,0,00000000
97,56,00000008,00108093,1,00000013
98,57,0000000c,00208463,0,00000000
99,58,00000010,fe000ce3,0,00000000
102,59,00000008,00108093,1,00000014
103,60,0000000c,00208463,0,00000000
104,61,00000010,fe000ce3,0,00000000
107,62,00000008,00108093,1,00000015
108,63,0000000c,00208463,0,00000000
109,64,00000010,fe000ce3,0,00000000
112,65,00000008,00108093,1,00000016
113,66,0000000c,00208463,0,00000000
114,67,00000010,fe000ce3,0,00000000
117,68,00000008,00108093,1,00000017
118,69,0000000c,00208463,0,00000000
119,70,00000010,fe000ce3,0,00000000
122,71,00000008,00108093,1,00000018
123,72,0000000c,00208463,0,00000000
124,73,00000010,fe000ce3,0,00000000
127,74,00000008,00108093,1,00000019
128,75,0000000c,00208463,0,00000000
129,76,00000010,fe000ce3,0,00000000
132,77,00000008,00108093,1,0000001a
133,78,0000000c,00208463,0,00000000
134,79,00000010,fe000ce3,0,00000000
137,80,00000008,00108093,1,0000001b
138,81,0000000c,00208463,0,00000000
139,82,00000010,fe000ce3,0,00000000
142,83,00000008,00108093,1,0000001c
143,84,0000000c,00208463,0,00000000
144,85,00000010,fe000ce3,0,00000000
147,86,00000008,00108093,1,0000001d
148,87,0000000c,00208463,0,00000000
149,88,00000010,fe000ce3,0,00000000
152,89,00000008,00108093,1,0000001e
153,90,0000000c,00208463,0,00000000
154,91,00000010,fe000ce3,0,00000000
157,92,00000008,00108093,1,0000001f
