cycle,index,pc,instruction,rd,value
17,0,00000000,00000093,1,00000000
18,1,00000004,10000113,2,00000100
19,2,00000008,02000193,3,00000020
32,3,0000000c,0000a203,4,00000001
36,4,00000010,00412023,0,00000000
37,5,00000014,00408093,1,00000004
38,6,00000018,00410113,2,00000104
39,7,0000001c,fff18193,3,0000001f
52,8,00000020,00018463,0,00000000
53,9,00000024,fe0004e3,0,00000000
56,10,0000000c,0000a203,4,00000002
59,11,00000010,00412023,0,00000000
60,12,00000014,00408093,1,00000008
61,13,00000018,00410113,2,00000108
62,14,0000001c,fff18193,3,0000001e
63,15,00000020,00018463,0,00000000
64,16,00000024,fe0004e3,0,00000000
67,17,0000000c,0000a203,4,00000003
70,18,00000010,00412023,0,00000000
71,19,00000014,00408093,1,0000000c
72,20,00000018,00410113,2,0000010c
73,21,0000001c,fff18193,3,0000001d
74,22,00000020,00018463,0,00000000
75,23,00000024,fe0004e3,0,00000000
78,24,0000000c,0000a203,4,00000004
81,25,00000010,00412023,0,00000000
82,26,00000014,00408093,1,00000010
83,27,00000018,00410113,2,00000110
84,28,0000001c,fff18193,3,0000001c
85,29,00000020,00018463,0,00000000
86,30,00000024,fe0004e3,0,00000000
101,31,0000000c,0000a203,4,00000005
104,32,00000010,00412023,0,00000000
105,33,00000014,00408093,1,00000014
106,34,00000018,00410113,2,00000114
107,35,0000001c,fff18193,3,0000001b
108,36,00000020,00018463,0,00000000
109,37,00000024,fe0004e3,0,00000000
112,38,0000000c,0000a203,4,00000006
115,39,00000010,00412023,0,00000000
116,40,00000014,00408093,1,00000018
117,41,00000018,00410113,2,00000118
118,42,0000001c,fff18193,3,0000001a
119,43,00000020,00018463,0,00000000
120,44,00000024,fe0004e3,0,00000000
123,45,0000000c,0000a203,4,00000007
126,46,00000010,00412023,0,00000000
127,47,00000014,00408093,1,0000001c
128,48,00000018,00410113,2,0000011c
129,49,0000001c,fff18193,3,00000019
130,50,00000020,00018463,0,00000000
131,51,00000024,fe0004e3,0,00000000
134,52,0000000c,0000a203,4,00000008
137,53,00000010,00412023,0,00000000
138,54,00000014,00408093,1,00000020
139,55,00000018,00410113,2,00000120
140,56,0000001c,fff18193,3,00000018
141,57,00000020,00018463,0,00000000
142,58,00000024,fe0004e3,0,00000000
157,59,0000000c,0000a203,4,00000009
160,60,00000010,00412023,0,00000000
161,61,00000014,00408093,1,00000024
162,62,00000018,00410113,2,00000124
163,63,0000001c,fff18193,3,00000017
164,64,00000020,00018463,0,00000000
165,65,00000024,fe0004e3,0,00000000
168,66,0000000c,0000a203,4,0000000a
171,67,00000010,00412023,0,00000000
172,68,00000014,00408093,1,00000028
173,69,00000018,00410113,2,00000128
174,70,0000001c,fff18193,3,00000016
175,71,00000020,00018463,0,00000000
176,72,00000024,fe0004e3,0,00000000
179,73,0000000c,0000a203,4,0000000b
182,74,00000010,00412023,0,00000000
183,75,00000014,00408093,1,0000002c
184,76,00000018,00410113,2,0000012c
185,77,0000001c,fff18193,3,00000015
186,78,00000020,00018463,0,00000000
187,79,00000024,fe0004e3,0,00000000
190,80,0000000c,0000a203,4,0000000c
193,81,00000010,00412023,0,00000000
194,82,00000014,00408093,1,00000030
195,83,00000018,00410113,2,00000130
196,84,0000001c,fff18193,3,00000014
197,85,00000020,00018463,0,00000000
198,86,00000024,fe0004e3,0,00000000
213,87,0000000c,0000a203,4,0000000d
216,88,00000010,00412023,0,00000000
217,89,00000014,00408093,1,00000034
218,90,00000018,00410113,2,00000134
219,91,0000001c,fff18193,3,00000013
220,92,00000020,00018463,0,00000000
221,93,00000024,fe0004e3,0,00000000
