cycle,index,pc,instruction,rd,value
17,0,00000000,00000093,1,00000000
18,1,00000004,7d000113,2,000007d0
19,2,00000008,00108093,1,00000001
20,3,0000000c,00208463,0,00000000
33,4,00000010,fe000ce3,0,00000000
36,5,00000008,00108093,1,00000002
37,6,0000000c,00208463,0,00000000
38,7,00000010,fe000ce3,0,00000000
41,8,00000008,00108093,1,00000003
42,9,0000000c,00208463,0,00000000
43,10,00000010,fe000ce3,0,00000000
46,11,00000008,00108093,1,00000004
47,12,0000000c,00208463,0,00000000
48,13,00000010,fe000ce3,0,00000000
51,14,00000008,00108093,1,00000005
52,15,0000000c,00208463,0,00000000
53,16,00000010,fe000ce3,0,00000000
56,17,00000008,00108093,1,00000006
57,18,0000000c,00208463,0,00000000
58,19,00000010,fe000ce3,0,00000000
61,20,00000008,00108093,1,00000007
62,21,0000000c,00208463,0,00000000
63,22,00000010,fe000ce3,0,00000000
66,23,00000008,00108093,1,00000008
67,24,0000000c,00208463,0,00000000
68,25,00000010,fe000ce3,0,00000000
71,26,00000008,00108093,1,00000009
72,27,0000000c,00208463,0,00000000
73,28,00000010,fe000ce3,0,00000000
76,29,00000008,00108093,1,0000000a
77,30,0000000c,00208463,0,00000000
78,31,00000010,fe000ce3,0,00000000
81,32,00000008,00108093,1,0000000b
82,33,0000000c,00208463,0,00000000
83,34,00000010,fe000ce3,0,00000000
86,35,00000008,00108093,1,0000000c
87,36,0000000c,00208463,0,00000000
88,37,00000010,fe000ce3,0,00000000
91,38,00000008,00108093,1,0000000d
92,39,0000000c,00208463,0,00000000
93,40,00000010,fe000ce3,0,00000000
96,41,00000008,00108093,1,0000000e
97,42,0000000c,00208463,0,00000000
98,43,00000010,fe000ce3,0,00000000
101,44,00000008,00108093,1,0000000f
102,45,0000000c,00208463,0,00000000
103,46,00000010,fe000ce3,0,00000000
106,47,00000008,00108093,1,00000010
107,48,0000000c,00208463,0,00000000
108,49,00000010,fe000ce3,0,00000000
111,50,00000008,00108093,1,00000011
112,51,0000000c,00208463,0,00000000
113,52,00000010,fe000ce3,0,00000000
116,53,00000008,00108093,1,00000012
117,54,0000000c,00208463,0,00000000
118,55,00000010,fe000ce3,0,00000000
121,56,00000008,00108093,1,00000013
122,57,0000000c,00208463,0,00000000
123,58,00000010,fe000ce3,0,00000000
126,59,00000008,00108093,1,00000014
127,60,0000000c,00208463,0,00000000
128,61,00000010,fe000ce3,0,00000000
131,62,00000008,00108093,1,00000015
132,63,0000000c,00208463,0,00000000
133,64,00000010,fe000ce3,0,00000000
136,65,00000008,00108093,1,00000016
137,66,0000000c,00208463,0,00000000
138,67,00000010,fe000ce3,0,00000000
141,68,00000008,00108093,1,00000017
142,69,0000000c,00208463,0,00000000
143,70,00000010,fe000ce3,0,00000000
146,71,00000008,00108093,1,00000018
147,72,0000000c,00208463,0,00000000
148,73,00000010,fe000ce3,0,00000000
151,74,00000008,00108093,1,00000019
152,75,0000000c,00208463,0,00000000
153,76,00000010,fe000ce3,0,00000000
156,77,00000008,00108093,1,0000001a
157,78,0000000c,00208463,0,00000000
158,79,00000010,fe000ce3,0,00000000
161,80,00000008,00108093,1,0000001b
162,81,0000000c,00208463,0,00000000
163,82,00000010,fe000ce3,0,00000000
166,83,00000008,00108093,1,0000001c
167,84,0000000c,00208463,0,00000000
168,85,00000010,fe000ce3,0,00000000
171,86,00000008,00108093,1,0000001d
172,87,0000000c,00208463,0,00000000
173,88,00000010,fe000ce3,0,00000000
176,89,00000008,00108093,1,0000001e
177,90,0000000c,00208463,0,00000000
178,91,00000010,fe000ce3,0,00000000
181,92,00000008,00108093,1,0000001f
182,93,0000000c,00208463,0,00000000
183,94,00000010,fe000ce3,0,00000000
186,95,00000008,00108093,1,00000020
187,96,0000000c,00208463,0,00000000
188,97,00000010,fe000ce3,0,00000000
191,98,00000008,00108093,1,00000021
192,99,0000000c,00208463,0,00000000
193,100,00000010,fe000ce3,0,00000000
196,101,00000008,00108093,1,00000022
197,102,0000000c,00208463,0,00000000
198,103,00000010,fe000ce3,0,00000000
201,104,00000008,00108093,1,00000023
202,105,0000000c,00208463,0,00000000
203,106,00000010,fe000ce3,0,00000000
206,107,00000008,00108093,1,00000024
207,108,0000000c,00208463,0,00000000
208,109,00000010,fe000ce3,0,00000000
211,110,00000008,00108093,1,00000025
212,111,0000000c,00208463,0,00000000
213,112,00000010,fe000ce3,0,00000000
