cycle,index,pc,instruction,rd,value
5,0,00000000,00000093,1,00000000
6,1,00000004,00400213,4,00000004
7,2,00000008,00000113,2,00000000
8,3,0000000c,02000193,3,00000020
9,4,00000010,00012283,5,00000001
11,5,00000014,005080b3,1,00000001
12,6,00000018,00410113,2,00000004
13,7,0000001c,fff18193,3,0000001f
14,8,00000020,00018463,0,00000000
15,9,00000024,fe0006e3,0,00000000
18,10,00000010,00012283,5,00000002
20,11,00000014,005080b3,1,00000003
21,12,00000018,00410113,2,00000008
22,13,0000001c,fff18193,3,0000001e
23,14,00000020,00018463,0,00000000
24,15,00000024,fe0006e3,0,00000000
27,16,00000010,00012283,5,00000003
29,17,00000014,005080b3,1,00000006
30,18,00000018,00410113,2,0000000c
31,19,0000001c,fff18193,3,0000001d
32,20,00000020,00018463,0,00000000
33,21,00000024,fe0006e3,0,00000000
36,22,00000010,00012283,5,00000004
38,23,00000014,005080b3,1,0000000a
39,24,00000018,00410113,2,00000010
40,25,0000001c,fff18193,3,0000001c
41,26,00000020,00018463,0,00000000
42,27,00000024,fe0006e3,0,00000000
45,28,00000010,00012283,5,00000005
47,29,00000014,005080b3,1,0000000f
48,30,00000018,00410113,2,00000014
49,31,0000001c,fff18193,3,0000001b
50,32,00000020,00018463,0,00000000
51,33,00000024,fe0006e3,0,00000000
54,34,00000010,00012283,5,00000006
56,35,00000014,005080b3,1,00000015
57,36,00000018,00410113,2,00000018
58,37,0000001c,fff18193,3,0000001a
59,38,00000020,00018463,0,00000000
60,39,00000024,fe0006e3,0,00000000
63,40,00000010,00012283,5,00000007
65,41,00000014,005080b3,1,0000001c
66,42,00000018,00410113,2,0000001c
67,43,0000001c,fff18193,3,00000019
68,44,00000020,00018463,0,00000000
69,45,00000024,fe0006e3,0,00000000
72,46,00000010,00012283,5,00000008
74,47,00000014,005080b3,1,00000024
75,48,00000018,00410113,2,00000020
76,49,0000001c,fff18193,3,00000018
77,50,00000020,00018463,0,00000000
78,51,00000024,fe0006e3,0,00000000
81,52,00000010,00012283,5,00000009
83,53,00000014,005080b3,1,0000002d
84,54,00000018,00410113,2,00000024
85,55,0000001c,fff18193,3,00000017
86,56,00000020,00018463,0,00000000
87,57,00000024,fe0006e3,0,00000000
90,58,00000010,00012283,5,0000000a
92,59,00000014,005080b3,1,00000037
93,60,00000018,00410113,2,00000028
94,61,0000001c,fff18193,3,00000016
95,62,00000020,00018463,0,00000000
96,63,00000024,fe0006e3,0,00000000
99,64,00000010,00012283,5,0000000b
101,65,00000014,005080b3,1,00000042
102,66,00000018,00410113,2,0000002c
103,67,0000001c,fff18193,3,00000015
104,68,00000020,00018463,0,00000000
105,69,00000024,fe0006e3,0,00000000
108,70,00000010,00012283,5,0000000c
110,71,00000014,005080b3,1,0000004e
111,72,00000018,00410113,2,00000030
112,73,0000001c,fff18193,3,00000014
113,74,00000020,00018463,0,00000000
114,75,00000024,fe0006e3,0,00000000
117,76,00000010,00012283,5,0000000d
119,77,00000014,005080b3,1,0000005b
120,78,00000018,00410113,2,00000034
121,79,0000001c,fff18193,3,00000013
122,80,00000020,00018463,0,00000000
123,81,00000024,fe0006e3,0,00000000
126,82,00000010,00012283,5,0000000e
128,83,00000014,005080b3,1,00000069
129,84,00000018,00410113,2,00000038
130,85,0000001c,fff18193,3,00000012
131,86,00000020,00018463,0,00000000
132,87,00000024,fe0006e3,0,00000000
135,88,00000010,00012283,5,0000000f
137,89,00000014,005080b3,1,00000078
138,90,00000018,00410113,2,0000003c
139,91,0000001c,fff18193,3,00000011
140,92,00000020,00018463,0,00000000
141,93,00000024,fe0006e3,0,00000000
144,94,00000010,00012283,5,00000010
146,95,00000014,005080b3,1,00000088
147,96,00000018,00410113,2,00000040
148,97,0000001c,fff18193,3,00000010
149,98,00000020,00018463,0,00000000
150,99,00000024,fe0006e3,0,00000000
153,100,00000010,00012283,5,00000011
155,101,00000014,005080b3,1,00000099
156,102,00000018,00410113,2,00000044
157,103,0000001c,fff18193,3,0000000f
158,104,00000020,00018463,0,00000000
