cycle,index,pc,instruction,rd,value
1,0,00000000,00000013,0,00000000
2,1,00000004,00108093,1,00000001
3,2,00000008,00108093,1,00000002
4,3,0000000c,00108093,1,00000003
5,4,00000010,00108093,1,00000004
6,5,00000014,00108093,1,00000005
7,6,00000018,00108093,1,00000006
8,7,0000001c,00108093,1,00000007
9,8,00000020,00108093,1,00000008
10,9,00000024,00108093,1,00000009
11,10,00000028,00108093,1,0000000a
12,11,0000002c,00108093,1,0000000b
13,12,00000030,00108093,1,0000000c
14,13,00000034,00108093,1,0000000d
15,14,00000038,00108093,1,0000000e
16,15,0000003c,00108093,1,0000000f
17,16,00000040,00108093,1,00000010
18,17,00000044,00108093,1,00000011
19,18,00000048,00108093,1,00000012
20,19,0000004c,00108093,1,00000013
21,20,00000050,00108093,1,00000014
22,21,00000054,00108093,1,00000015
23,22,00000058,00108093,1,00000016
24,23,0000005c,00108093,1,00000017
25,24,00000060,00108093,1,00000018
26,25,00000064,00108093,1,00000019
27,26,00000068,00108093,1,0000001a
28,27,0000006c,00108093,1,0000001b
29,28,00000070,00108093,1,0000001c
30,29,00000074,00108093,1,0000001d
31,30,00000078,00108093,1,0000001e
32,31,0000007c,00108093,1,0000001f
33,32,00000080,00108093,1,00000020
34,33,00000084,00108093,1,00000021
35,34,00000088,00108093,1,00000022
36,35,0000008c,00108093,1,00000023
37,36,00000090,00108093,1,00000024
38,37,00000094,00108093,1,00000025
39,38,00000098,00108093,1,00000026
40,39,0000009c,00108093,1,00000027
41,40,000000a0,00108093,1,00000028
42,41,000000a4,00108093,1,00000029
43,42,000000a8,00108093,1,0000002a
44,43,000000ac,00108093,1,0000002b
45,44,000000b0,00108093,1,0000002c
46,45,000000b4,00108093,1,0000002d
47,46,000000b8,00108093,1,0000002e
48,47,000000bc,00108093,1,0000002f
49,48,000000c0,00108093,1,00000030
50,49,000000c4,00108093,1,00000031
51,50,000000c8,00108093,1,00000032
52,51,000000cc,00108093,1,00000033
53,52,000000d0,00108093,1,00000034
54,53,000000d4,00108093,1,00000035
55,54,000000d8,00108093,1,00000036
56,55,000000dc,00108093,1,00000037
57,56,000000e0,00108093,1,00000038
58,57,000000e4,00108093,1,00000039
59,58,000000e8,00108093,1,0000003a
60,59,000000ec,00108093,1,0000003b
61,60,000000f0,00108093,1,0000003c
62,61,000000f4,00108093,1,0000003d
