cycle,index,pc,instruction,rd,value
6,0,00000000,00000093,1,00000000
9,1,00000004,10000113,2,00000100
12,2,00000008,02000193,3,00000020
16,3,0000000c,0000a203,4,00000001
22,4,00000010,00412023,0,00000000
27,5,00000014,00408093,1,00000004
30,6,00000018,00410113,2,00000104
33,7,0000001c,fff18193,3,0000001f
36,8,00000020,00018463,0,00000000
39,9,00000024,fe0004e3,0,00000000
44,10,0000000c,0000a203,4,00000002
50,11,00000010,00412023,0,00000000
55,12,00000014,00408093,1,00000008
58,13,00000018,00410113,2,00000108
61,14,0000001c,fff18193,3,0000001e
64,15,00000020,00018463,0,00000000
67,16,00000024,fe0004e3,0,00000000
72,17,0000000c,0000a203,4,00000003
78,18,00000010,00412023,0,00000000
83,19,00000014,00408093,1,0000000c
86,20,00000018,00410113,2,0000010c
89,21,0000001c,fff18193,3,0000001d
92,22,00000020,00018463,0,00000000
95,23,00000024,fe0004e3,0,00000000
100,24,0000000c,0000a203,4,00000004
106,25,00000010,00412023,0,00000000
111,26,00000014,00408093,1,00000010
114,27,00000018,00410113,2,00000110
117,28,0000001c,fff18193,3,0000001c
120,29,00000020,00018463,0,00000000
123,30,00000024,fe0004e3,0,00000000
128,31,0000000c,0000a203,4,00000005
134,32,00000010,00412023,0,00000000
139,33,00000014,00408093,1,00000014
142,34,00000018,00410113,2,00000114
145,35,0000001c,fff18193,3,0000001b
148,36,00000020,00018463,0,00000000
151,37,00000024,fe0004e3,0,00000000
156,38,0000000c,0000a203,4,00000006
162,39,00000010,00412023,0,00000000
167,40,00000014,00408093,1,00000018
170,41,00000018,00410113,2,00000118
173,42,0000001c,fff18193,3,0000001a
176,43,00000020,00018463,0,00000000
179,44,00000024,fe0004e3,0,00000000
184,45,0000000c,0000a203,4,00000007
190,46,00000010,00412023,0,00000000
195,47,00000014,00408093,1,0000001c
198,48,00000018,00410113,2,0000011c
201,49,0000001c,fff18193,3,00000019
204,50,00000020,00018463,0,00000000
207,51,00000024,fe0004e3,0,00000000
212,52,0000000c,0000a203,4,00000008
218,53,00000010,00412023,0,00000000
223,54,00000014,00408093,1,00000020
226,55,00000018,00410113,2,00000120
229,56,0000001c,fff18193,3,00000018
232,57,00000020,00018463,0,00000000
235,58,00000024,fe0004e3,0,00000000
240,59,0000000c,0000a203,4,00000009
246,60,00000010,00412023,0,00000000
251,61,00000014,00408093,1,00000024
254,62,00000018,00410113,2,00000124
257,63,0000001c,fff18193,3,00000017
260,64,00000020,00018463,0,00000000
263,65,00000024,fe0004e3,0,00000000
268,66,0000000c,0000a203,4,0000000a
274,67,00000010,00412023,0,00000000
279,68,00000014,00408093,1,00000028
282,69,00000018,00410113,2,00000128
285,70,0000001c,fff18193,3,00000016
288,71,00000020,00018463,0,00000000
291,72,00000024,fe0004e3,0,00000000
296,73,0000000c,0000a203,4,0000000b
302,74,00000010,00412023,0,00000000
307,75,00000014,00408093,1,0000002c
310,76,00000018,00410113,2,0000012c
313,77,0000001c,fff18193,3,00000015
316,78,00000020,00018463,0,00000000
319,79,00000024,fe0004e3,0,00000000
324,80,0000000c,0000a203,4,0000000c
330,81,00000010,00412023,0,00000000
335,82,00000014,00408093,1,00000030
338,83,00000018,00410113,2,00000130
341,84,0000001c,fff18193,3,00000014
344,85,00000020,00018463,0,00000000
347,86,00000024,fe0004e3,0,00000000
352,87,0000000c,0000a203,4,0000000d
358,88,00000010,00412023,0,00000000
363,89,00000014,00408093,1,00000034
366,90,00000018,00410113,2,00000134
369,91,0000001c,fff18193,3,00000013
372,92,00000020,00018463,0,00000000
375,93,00000024,fe0004e3,0,00000000
380,94,0000000c,0000a203,4,0000000e
386,95,00000010,00412023,0,00000000
391,96,00000014,00408093,1,00000038
394,97,00000018,00410113,2,00000138
397,98,0000001c,fff18193,3,00000012
400,99,00000020,00018463,0,00000000
403,100,00000024,fe0004e3,0,00000000
408,101,0000000c,0000a203,4,0000000f
414,102,00000010,00412023,0,00000000
419,103,00000014,00408093,1,0000003c
422,104,00000018,00410113,2,0000013c
425,105,0000001c,fff18193,3,00000011
428,106,00000020,00018463,0,00000000
431,107,00000024,fe0004e3,0,00000000
436,108,0000000c,0000a203,4,00000010
442,109,00000010,00412023,0,00000000
447,110,00000014,00408093,1,00000040
450,111,00000018,00410113,2,00000140
453,112,0000001c,fff18193,3,00000010
456,113,00000020,00018463,0,00000000
459,114,00000024,fe0004e3,0,00000000
464,115,0000000c,0000a203,4,00000011
470,116,00000010,00412023,0,00000000
475,117,00000014,00408093,1,00000044
478,118,00000018,00410113,2,00000144
481,119,0000001c,fff18193,3,0000000f
484,120,00000020,00018463,0,00000000
487,121,00000024,fe0004e3,0,00000000
492,122,0000000c,0000a203,4,00000012
498,123,00000010,00412023,0,00000000
503,124,00000014,00408093,1,00000048
506,125,00000018,00410113,2,00000148
509,126,0000001c,fff18193,3,0000000e
512,127,00000020,00018463,0,00000000
515,128,00000024,fe0004e3,0,00000000
520,129,0000000c,0000a203,4,00000013
526,130,00000010,00412023,0,00000000
531,131,00000014,00408093,1,0000004c
534,132,00000018,00410113,2,0000014c
537,133,0000001c,fff18193,3,0000000d
540,134,00000020,00018463,0,00000000
543,135,00000024,fe0004e3,0,00000000
548,136,0000000c,0000a203,4,00000014
554,137,00000010,00412023,0,00000000
559,138,00000014,00408093,1,00000050
562,139,00000018,00410113,2,00000150
565,140,0000001c,fff18193,3,0000000c
568,141,00000020,00018463,0,00000000
571,142,00000024,fe0004e3,0,00000000
576,143,0000000c,0000a203,4,00000015
582,144,00000010,00412023,0,00000000
587,145,00000014,00408093,1,00000054
590,146,00000018,00410113,2,00000154
593,147,0000001c,fff18193,3,0000000b
596,148,00000020,00018463,0,00000000
599,149,00000024,fe0004e3,0,00000000
604,150,0000000c,0000a203,4,00000016
610,151,00000010,00412023,0,00000000
615,152,00000014,00408093,1,00000058
618,153,00000018,00410113,2,00000158
621,154,0000001c,fff18193,3,0000000a
624,155,00000020,00018463,0,00000000
627,156,00000024,fe0004e3,0,00000000
632,157,0000000c,0000a203,4,00000017
638,158,00000010,00412023,0,00000000
643,159,00000014,00408093,1,0000005c
646,160,00000018,00410113,2,0000015c
649,161,0000001c,fff18193,3,00000009
652,162,00000020,00018463,0,00000000
655,163,00000024,fe0004e3,0,00000000
660,164,0000000c,0000a203,4,00000018
666,165,00000010,00412023,0,00000000
671,166,00000014,00408093,1,00000060
674,167,00000018,00410113,2,00000160
677,168,0000001c,fff18193,3,00000008
680,169,00000020,00018463,0,00000000
683,170,00000024,fe0004e3,0,00000000
688,171,0000000c,0000a203,4,00000019
694,172,00000010,00412023,0,00000000
699,173,00000014,00408093,1,00000064
702,174,00000018,00410113,2,00000164
705,175,0000001c,fff18193,3,00000007
708,176,00000020,00018463,0,00000000
711,177,00000024,fe0004e3,0,00000000
716,178,0000000c,0000a203,4,0000001a
722,179,00000010,00412023,0,00000000
727,180,00000014,00408093,1,00000068
730,181,00000018,00410113,2,00000168
733,182,0000001c,fff18193,3,00000006
736,183,00000020,00018463,0,00000000
739,184,00000024,fe0004e3,0,00000000
744,185,0000000c,0000a203,4,0000001b
750,186,00000010,00412023,0,00000000
755,187,00000014,00408093,1,0000006c
758,188,00000018,00410113,2,0000016c
761,189,0000001c,fff18193,3,00000005
764,190,00000020,00018463,0,00000000
767,191,00000024,fe0004e3,0,00000000
772,192,0000000c,0000a203,4,0000001c
778,193,00000010,00412023,0,00000000
783,194,00000014,00408093,1,00000070
786,195,00000018,00410113,2,00000170
789,196,0000001c,fff18193,3,00000004
792,197,00000020,00018463,0,00000000
795,198,00000024,fe0004e3,0,00000000
800,199,0000000c,0000a203,4,0000001d
806,200,00000010,00412023,0,00000000
811,201,00000014,00408093,1,00000074
814,202,00000018,00410113,2,00000174
817,203,0000001c,fff18193,3,00000003
820,204,00000020,00018463,0,00000000
823,205,00000024,fe0004e3,0,00000000
828,206,0000000c,0000a203,4,0000001e
834,207,00000010,00412023,0,00000000
839,208,00000014,00408093,1,00000078
842,209,00000018,00410113,2,00000178
845,210,0000001c,fff18193,3,00000002
848,211,00000020,00018463,0,00000000
851,212,00000024,fe0004e3,0,00000000
856,213,0000000c,0000a203,4,0000001f
862,214,00000010,00412023,0,00000000
867,215,00000014,00408093,1,0000007c
870,216,00000018,00410113,2,0000017c
873,217,0000001c,fff18193,3,00000001
876,218,00000020,00018463,0,00000000
879,219,00000024,fe0004e3,0,00000000
884,220,0000000c,0000a203,4,00000020
890,221,00000010,00412023,0,00000000
895,222,00000014,00408093,1,00000080
898,223,00000018,00410113,2,00000180
901,224,0000001c,fff18193,3,00000000
904,225,00000020,00018463,0,00000000
908,226,00000028,00000063,0,00000000
