cycle,index,pc,instruction,rd,value
1,0,00000000,00000093,1,00000000
2,1,00000004,08000113,2,00000080
3,2,00000008,00108093,1,00000001
4,3,0000000c,00208463,0,00000000
5,4,00000010,fe000ce3,0,00000000
6,5,00000008,00108093,1,00000002
7,6,0000000c,00208463,0,00000000
8,7,00000010,fe000ce3,0,00000000
9,8,00000008,00108093,1,00000003
10,9,0000000c,00208463,0,00000000
11,10,00000010,fe000ce3,0,00000000
12,11,00000008,00108093,1,00000004
13,12,0000000c,00208463,0,00000000
14,13,00000010,fe000ce3,0,00000000
15,14,00000008,00108093,1,00000005
16,15,0000000c,00208463,0,00000000
17,16,00000010,fe000ce3,0,00000000
18,17,00000008,00108093,1,00000006
19,18,0000000c,00208463,0,00000000
20,19,00000010,fe000ce3,0,00000000
21,20,00000008,00108093,1,00000007
22,21,0000000c,00208463,0,00000000
23,22,00000010,fe000ce3,0,00000000
24,23,00000008,00108093,1,00000008
25,24,0000000c,00208463,0,00000000
26,25,00000010,fe000ce3,0,00000000
27,26,00000008,00108093,1,00000009
28,27,0000000c,00208463,0,00000000
29,28,00000010,fe000ce3,0,00000000
30,29,00000008,00108093,1,0000000a
31,30,0000000c,00208463,0,00000000
32,31,00000010,fe000ce3,0,00000000
33,32,00000008,00108093,1,0000000b
34,33,0000000c,00208463,0,00000000
35,34,00000010,fe000ce3,0,00000000
36,35,00000008,00108093,1,0000000c
37,36,0000000c,00208463,0,00000000
38,37,00000010,fe000ce3,0,00000000
39,38,00000008,00108093,1,0000000d
40,39,0000000c,00208463,0,00000000
41,40,00000010,fe000ce3,0,00000000
42,41,00000008,00108093,1,0000000e
43,42,0000000c,00208463,0,00000000
44,43,00000010,fe000ce3,0,00000000
45,44,00000008,00108093,1,0000000f
46,45,0000000c,00208463,0,00000000
47,46,00000010,fe000ce3,0,00000000
48,47,00000008,00108093,1,00000010
49,48,0000000c,00208463,0,00000000
50,49,00000010,fe000ce3,0,00000000
51,50,00000008,00108093,1,00000011
52,51,0000000c,00208463,0,00000000
53,52,00000010,fe000ce3,0,00000000
54,53,00000008,00108093,1,00000012
55,54,0000000c,00208463,0,00000000
56,55,00000010,fe000ce3,0,00000000
57,56,00000008,00108093,1,00000013
58,57,0000000c,00208463,0,00000000
59,58,00000010,fe000ce3,0,00000000
60,59,00000008,00108093,1,00000014
61,60,0000000c,00208463,0,00000000
62,61,00000010,fe000ce3,0,00000000
63,62,00000008,00108093,1,00000015
64,63,0000000c,00208463,0,00000000
65,64,00000010,fe000ce3,0,00000000
66,65,00000008,00108093,1,00000016
67,66,0000000c,00208463,0,00000000
68,67,00000010,fe000ce3,0,00000000
69,68,00000008,00108093,1,00000017
70,69,0000000c,00208463,0,00000000
71,70,00000010,fe000ce3,0,00000000
72,71,00000008,00108093,1,00000018
73,72,0000000c,00208463,0,00000000
74,73,00000010,fe000ce3,0,00000000
75,74,00000008,00108093,1,00000019
76,75,0000000c,00208463,0,00000000
77,76,00000010,fe000ce3,0,00000000
78,77,00000008,00108093,1,0000001a
79,78,0000000c,00208463,0,00000000
80,79,00000010,fe000ce3,0,00000000
81,80,00000008,00108093,1,0000001b
82,81,0000000c,00208463,0,00000000
83,82,00000010,fe000ce3,0,00000000
84,83,00000008,00108093,1,0000001c
85,84,0000000c,00208463,0,00000000
86,85,00000010,fe000ce3,0,00000000
87,86,00000008,00108093,1,0000001d
88,87,0000000c,00208463,0,00000000
89,88,00000010,fe000ce3,0,00000000
90,89,00000008,00108093,1,0000001e
91,90,0000000c,00208463,0,00000000
92,91,00000010,fe000ce3,0,00000000
93,92,00000008,00108093,1,0000001f
94,93,0000000c,00208463,0,00000000
95,94,00000010,fe000ce3,0,00000000
96,95,00000008,00108093,1,00000020
97,96,0000000c,00208463,0,00000000
98,97,00000010,fe000ce3,0,00000000
99,98,00000008,00108093,1,00000021
100,99,0000000c,00208463,0,00000000
101,100,00000010,fe000ce3,0,00000000
102,101,00000008,00108093,1,00000022
103,102,0000000c,00208463,0,00000000
104,103,00000010,fe000ce3,0,00000000
105,104,00000008,00108093,1,00000023
106,105,0000000c,00208463,0,00000000
107,106,00000010,fe000ce3,0,00000000
108,107,00000008,00108093,1,00000024
109,108,0000000c,00208463,0,00000000
110,109,00000010,fe000ce3,0,00000000
111,110,00000008,00108093,1,00000025
112,111,0000000c,00208463,0,00000000
113,112,00000010,fe000ce3,0,00000000
114,113,00000008,00108093,1,00000026
115,114,0000000c,00208463,0,00000000
