cycle,index,pc,instruction,rd,value
6,0,00000000,00000093,1,00000000
9,1,00000004,08000113,2,00000080
12,2,00000008,00108093,1,00000001
15,3,0000000c,00208463,0,00000000
18,4,00000010,fe000ce3,0,00000000
22,5,00000008,00108093,1,00000002
25,6,0000000c,00208463,0,00000000
28,7,00000010,fe000ce3,0,00000000
31,8,00000008,00108093,1,00000003
34,9,0000000c,00208463,0,00000000
37,10,00000010,fe000ce3,0,00000000
40,11,00000008,00108093,1,00000004
43,12,0000000c,00208463,0,00000000
46,13,00000010,fe000ce3,0,00000000
49,14,00000008,00108093,1,00000005
52,15,0000000c,00208463,0,00000000
55,16,00000010,fe000ce3,0,00000000
58,17,00000008,00108093,1,00000006
61,18,0000000c,00208463,0,00000000
64,19,00000010,fe000ce3,0,00000000
67,20,00000008,00108093,1,00000007
70,21,0000000c,00208463,0,00000000
73,22,00000010,fe000ce3,0,00000000
76,23,00000008,00108093,1,00000008
79,24,0000000c,00208463,0,00000000
82,25,00000010,fe000ce3,0,00000000
85,26,00000008,00108093,1,00000009
88,27,0000000c,00208463,0,00000000
91,28,00000010,fe000ce3,0,00000000
94,29,00000008,00108093,1,0000000a
97,30,0000000c,00208463,0,00000000
100,31,00000010,fe000ce3,0,00000000
103,32,00000008,00108093,1,0000000b
106,33,0000000c,00208463,0,00000000
109,34,00000010,fe000ce3,0,00000000
112,35,00000008,00108093,1,0000000c
115,36,0000000c,00208463,0,00000000
118,37,00000010,fe000ce3,0,00000000
121,38,00000008,00108093,1,0000000d
124,39,0000000c,00208463,0,00000000
127,40,00000010,fe000ce3,0,00000000
130,41,00000008,00108093,1,0000000e
133,42,0000000c,00208463,0,00000000
136,43,00000010,fe000ce3,0,00000000
139,44,00000008,00108093,1,0000000f
142,45,0000000c,00208463,0,00000000
145,46,00000010,fe000ce3,0,00000000
148,47,00000008,00108093,1,00000010
151,48,0000000c,00208463,0,00000000
154,49,00000010,fe000ce3,0,00000000
157,50,00000008,00108093,1,00000011
160,51,0000000c,00208463,0,00000000
163,52,00000010,fe000ce3,0,00000000
166,53,00000008,00108093,1,00000012
169,54,0000000c,00208463,0,00000000
172,55,00000010,fe000ce3,0,00000000
175,56,00000008,00108093,1,00000013
178,57,0000000c,00208463,0,00000000
181,58,00000010,fe000ce3,0,00000000
184,59,00000008,00108093,1,00000014
187,60,0000000c,00208463,0,00000000
190,61,00000010,fe000ce3,0,00000000
193,62,00000008,00108093,1,00000015
196,63,0000000c,00208463,0,00000000
199,64,00000010,fe000ce3,0,00000000
202,65,00000008,00108093,1,00000016
205,66,0000000c,00208463,0,00000000
208,67,00000010,fe000ce3,0,00000000
211,68,00000008,00108093,1,00000017
214,69,0000000c,00208463,0,00000000
217,70,00000010,fe000ce3,0,00000000
220,71,00000008,00108093,1,00000018
223,72,0000000c,00208463,0,00000000
226,73,00000010,fe000ce3,0,00000000
229,74,00000008,00108093,1,00000019
232,75,0000000c,00208463,0,00000000
235,76,00000010,fe000ce3,0,00000000
238,77,00000008,00108093,1,0000001a
241,78,0000000c,00208463,0,00000000
244,79,00000010,fe000ce3,0,00000000
247,80,00000008,00108093,1,0000001b
250,81,0000000c,00208463,0,00000000
253,82,00000010,fe000ce3,0,00000000
256,83,00000008,00108093,1,0000001c
259,84,0000000c,00208463,0,00000000
262,85,00000010,fe000ce3,0,00000000
265,86,00000008,00108093,1,0000001d
268,87,0000000c,00208463,0,00000000
271,88,00000010,fe000ce3,0,00000000
274,89,00000008,00108093,1,0000001e
277,90,0000000c,00208463,0,00000000
280,91,00000010,fe000ce3,0,00000000
283,92,00000008,00108093,1,0000001f
286,93,0000000c,00208463,0,00000000
289,94,00000010,fe000ce3,0,00000000
292,95,00000008,00108093,1,00000020
295,96,0000000c,00208463,0,00000000
298,97,00000010,fe000ce3,0,00000000
301,98,00000008,00108093,1,00000021
304,99,0000000c,00208463,0,00000000
307,100,00000010,fe000ce3,0,00000000
310,101,00000008,00108093,1,00000022
313,102,0000000c,00208463,0,00000000
316,103,00000010,fe000ce3,0,00000000
319,104,00000008,00108093,1,00000023
322,105,0000000c,00208463,0,00000000
325,106,00000010,fe000ce3,0,00000000
328,107,00000008,00108093,1,00000024
331,108,0000000c,00208463,0,00000000
334,109,00000010,fe000ce3,0,00000000
337,110,00000008,00108093,1,00000025
340,111,0000000c,00208463,0,00000000
343,112,00000010,fe000ce3,0,00000000
346,113,00000008,00108093,1,00000026
349,114,0000000c,00208463,0,00000000
352,115,00000010,fe000ce3,0,00000000
355,116,00000008,00108093,1,00000027
358,117,0000000c,00208463,0,00000000
361,118,00000010,fe000ce3,0,00000000
364,119,00000008,00108093,1,00000028
367,120,0000000c,00208463,0,00000000
370,121,00000010,fe000ce3,0,00000000
373,122,00000008,00108093,1,00000029
376,123,0000000c,00208463,0,00000000
379,124,00000010,fe000ce3,0,00000000
382,125,00000008,00108093,1,0000002a
385,126,0000000c,00208463,0,00000000
388,127,00000010,fe000ce3,0,00000000
391,128,00000008,00108093,1,0000002b
394,129,0000000c,00208463,0,00000000
397,130,00000010,fe000ce3,0,00000000
400,131,00000008,00108093,1,0000002c
