cycle,index,pc,instruction,rd,value
6,0,00000000,00000013,0,00000000
9,1,00000004,00108093,1,00000001
12,2,00000008,00110113,2,00000001
15,3,0000000c,00118193,3,00000001
18,4,00000010,00120213,4,00000001
21,5,00000014,00128293,5,00000001
24,6,00000018,00130313,6,00000001
27,7,0000001c,00108093,1,00000002
30,8,00000020,00110113,2,00000002
33,9,00000024,00118193,3,00000002
36,10,00000028,00120213,4,00000002
39,11,0000002c,00128293,5,00000002
42,12,00000030,00130313,6,00000002
45,13,00000034,00108093,1,00000003
48,14,00000038,00110113,2,00000003
51,15,0000003c,00118193,3,00000003
54,16,00000040,00120213,4,00000003
57,17,00000044,00128293,5,00000003
60,18,00000048,00130313,6,00000003
63,19,0000004c,00108093,1,00000004
66,20,00000050,00110113,2,00000004
69,21,00000054,00118193,3,00000004
72,22,00000058,00120213,4,00000004
75,23,0000005c,00128293,5,00000004
78,24,00000060,00130313,6,00000004
81,25,00000064,00108093,1,00000005
84,26,00000068,00110113,2,00000005
87,27,0000006c,00118193,3,00000005
90,28,00000070,00120213,4,00000005
93,29,00000074,00128293,5,00000005
96,30,00000078,00130313,6,00000005
99,31,0000007c,00108093,1,00000006
102,32,00000080,00110113,2,00000006
105,33,00000084,00118193,3,00000006
108,34,00000088,00120213,4,00000006
111,35,0000008c,00128293,5,00000006
114,36,00000090,00130313,6,00000006
117,37,00000094,00108093,1,00000007
120,38,00000098,00110113,2,00000007
123,39,0000009c,00118193,3,00000007
126,40,000000a0,00120213,4,00000007
129,41,000000a4,00128293,5,00000007
132,42,000000a8,00130313,6,00000007
135,43,000000ac,00108093,1,00000008
138,44,000000b0,00110113,2,00000008
141,45,000000b4,00118193,3,00000008
144,46,000000b8,00120213,4,00000008
147,47,000000bc,00128293,5,00000008
150,48,000000c0,00130313,6,00000008
153,49,000000c4,00108093,1,00000009
156,50,000000c8,00110113,2,00000009
159,51,000000cc,00118193,3,00000009
162,52,000000d0,00120213,4,00000009
165,53,000000d4,00128293,5,00000009
168,54,000000d8,00130313,6,00000009
171,55,000000dc,00108093,1,0000000a
174,56,000000e0,00110113,2,0000000a
177,57,000000e4,00118193,3,0000000a
180,58,000000e8,00120213,4,0000000a
183,59,000000ec,00128293,5,0000000a
186,60,000000f0,00130313,6,0000000a
189,61,000000f4,00108093,1,0000000b
192,62,000000f8,00110113,2,0000000b
195,63,000000fc,00118193,3,0000000b
198,64,00000100,00120213,4,0000000b
201,65,00000104,00128293,5,0000000b
204,66,00000108,00130313,6,0000000b
207,67,0000010c,00108093,1,0000000c
210,68,00000110,00110113,2,0000000c
213,69,00000114,00118193,3,0000000c
216,70,00000118,00120213,4,0000000c
219,71,0000011c,00128293,5,0000000c
222,72,00000120,00130313,6,0000000c
225,73,00000124,00108093,1,0000000d
228,74,00000128,00110113,2,0000000d
231,75,0000012c,00118193,3,0000000d
234,76,00000130,00120213,4,0000000d
237,77,00000134,00128293,5,0000000d
240,78,00000138,00130313,6,0000000d
243,79,0000013c,00108093,1,0000000e
246,80,00000140,00110113,2,0000000e
249,81,00000144,00118193,3,0000000e
252,82,00000148,00120213,4,0000000e
255,83,0000014c,00128293,5,0000000e
258,84,00000150,00130313,6,0000000e
261,85,00000154,00108093,1,0000000f
264,86,00000158,00110113,2,0000000f
267,87,0000015c,00118193,3,0000000f
270,88,00000160,00120213,4,0000000f
273,89,00000164,00128293,5,0000000f
276,90,00000168,00130313,6,0000000f
279,91,0000016c,00108093,1,00000010
282,92,00000170,00110113,2,00000010
285,93,00000174,00118193,3,00000010
288,94,00000178,00120213,4,00000010
291,95,0000017c,00128293,5,00000010
294,96,00000180,00130313,6,00000010
297,97,00000184,00108093,1,00000011
300,98,00000188,00110113,2,00000011
303,99,0000018c,00118193,3,00000011
306,100,00000190,00120213,4,00000011
309,101,00000194,00128293,5,00000011
312,102,00000198,00130313,6,00000011
315,103,0000019c,00108093,1,00000012
318,104,000001a0,00110113,2,00000012
321,105,000001a4,00118193,3,00000012
324,106,000001a8,00120213,4,00000012
327,107,000001ac,00128293,5,00000012
330,108,000001b0,00130313,6,00000012
333,109,000001b4,00108093,1,00000013
336,110,000001b8,00110113,2,00000013
339,111,000001bc,00118193,3,00000013
342,112,000001c0,00120213,4,00000013
345,113,000001c4,00128293,5,00000013
348,114,000001c8,00130313,6,00000013
351,115,000001cc,00108093,1,00000014
354,116,000001d0,00110113,2,00000014
357,117,000001d4,00118193,3,00000014
360,118,000001d8,00120213,4,00000014
363,119,000001dc,00128293,5,00000014
366,120,000001e0,00130313,6,00000014
369,121,000001e4,00108093,1,00000015
372,122,000001e8,00110113,2,00000015
375,123,000001ec,00118193,3,00000015
378,124,000001f0,00120213,4,00000015
381,125,000001f4,00128293,5,00000015
384,126,000001f8,00130313,6,00000015
387,127,000001fc,00108093,1,00000016
390,128,00000200,00110113,2,00000016
393,129,00000204,00118193,3,00000016
396,130,00000208,00120213,4,00000016
399,131,0000020c,00128293,5,00000016
402,132,00000210,00130313,6,00000016
405,133,00000214,00108093,1,00000017
408,134,00000218,00110113,2,00000017
411,135,0000021c,00118193,3,00000017
414,136,00000220,00120213,4,00000017
417,137,00000224,00128293,5,00000017
420,138,00000228,00130313,6,00000017
423,139,0000022c,00108093,1,00000018
426,140,00000230,00110113,2,00000018
429,141,00000234,00118193,3,00000018
432,142,00000238,00120213,4,00000018
435,143,0000023c,00128293,5,00000018
438,144,00000240,00130313,6,00000018
441,145,00000244,00108093,1,00000019
444,146,00000248,00110113,2,00000019
447,147,0000024c,00118193,3,00000019
450,148,00000250,00120213,4,00000019
453,149,00000254,00128293,5,00000019
456,150,00000258,00130313,6,00000019
459,151,0000025c,00108093,1,0000001a
462,152,00000260,00110113,2,0000001a
465,153,00000264,00118193,3,0000001a
468,154,00000268,00120213,4,0000001a
471,155,0000026c,00128293,5,0000001a
474,156,00000270,00130313,6,0000001a
477,157,00000274,00108093,1,0000001b
480,158,00000278,00110113,2,0000001b
483,159,0000027c,00118193,3,0000001b
486,160,00000280,00120213,4,0000001b
489,161,00000284,00128293,5,0000001b
492,162,00000288,00130313,6,0000001b
495,163,0000028c,00108093,1,0000001c
498,164,00000290,00110113,2,0000001c
501,165,00000294,00118193,3,0000001c
504,166,00000298,00120213,4,0000001c
507,167,0000029c,00128293,5,0000001c
510,168,000002a0,00130313,6,0000001c
513,169,000002a4,00108093,1,0000001d
516,170,000002a8,00110113,2,0000001d
519,171,000002ac,00118193,3,0000001d
522,172,000002b0,00120213,4,0000001d
525,173,000002b4,00128293,5,0000001d
528,174,000002b8,00130313,6,0000001d
531,175,000002bc,00108093,1,0000001e
534,176,000002c0,00110113,2,0000001e
537,177,000002c4,00118193,3,0000001e
540,178,000002c8,00120213,4,0000001e
543,179,000002cc,00128293,5,0000001e
546,180,000002d0,00130313,6,0000001e
549,181,000002d4,00108093,1,0000001f
552,182,000002d8,00110113,2,0000001f
555,183,000002dc,00118193,3,0000001f
558,184,000002e0,00120213,4,0000001f
561,185,000002e4,00128293,5,0000001f
564,186,000002e8,00130313,6,0000001f
567,187,000002ec,00108093,1,00000020
570,188,000002f0,00110113,2,00000020
573,189,000002f4,00118193,3,00000020
576,190,000002f8,00120213,4,00000020
579,191,000002fc,00128293,5,00000020
582,192,00000300,00130313,6,00000020
585,193,00000304,00000063,0,00000000
