cycle,index,pc,instruction,rd,value
6,0,00000000,00000093,1,00000000
9,1,00000004,7d000113,2,000007d0
12,2,00000008,00108093,1,00000001
15,3,0000000c,00208463,0,00000000
18,4,00000010,fe000ce3,0,00000000
22,5,00000008,00108093,1,00000002
25,6,0000000c,00208463,0,00000000
28,7,00000010,fe000ce3,0,00000000
31,8,00000008,00108093,1,00000003
34,9,0000000c,00208463,0,00000000
37,10,00000010,fe000ce3,0,00000000
40,11,00000008,00108093,1,00000004
43,12,0000000c,00208463,0,00000000
46,13,00000010,fe000ce3,0,00000000
49,14,00000008,00108093,1,00000005
52,15,0000000c,00208463,0,00000000
55,16,00000010,fe000ce3,0,00000000
58,17,00000008,00108093,1,00000006
61,18,0000000c,00208463,0,00000000
64,19,00000010,fe000ce3,0,00000000
67,20,00000008,00108093,1,00000007
70,21,0000000c,00208463,0,00000000
73,22,00000010,fe000ce3,0,00000000
76,23,00000008,00108093,1,00000008
79,24,0000000c,00208463,0,00000000
82,25,00000010,fe000ce3,0,00000000
85,26,00000008,00108093,1,00000009
88,27,0000000c,00208463,0,00000000
91,28,00000010,fe000ce3,0,00000000
94,29,00000008,00108093,1,0000000a
97,30,0000000c,00208463,0,00000000
100,31,00000010,fe000ce3,0,00000000
103,32,00000008,00108093,1,0000000b
106,33,0000000c,00208463,0,00000000
109,34,00000010,fe000ce3,0,00000000
112,35,00000008,00108093,1,0000000c
115,36,0000000c,00208463,0,00000000
118,37,00000010,fe000ce3,0,00000000
121,38,00000008,00108093,1,0000000d
124,39,0000000c,00208463,0,00000000
127,40,00000010,fe000ce3,0,00000000
130,41,00000008,00108093,1,0000000e
133,42,0000000c,00208463,0,00000000
136,43,00000010,fe000ce3,0,00000000
139,44,00000008,00108093,1,0000000f
142,45,0000000c,00208463,0,00000000
145,46,00000010,fe000ce3,0,00000000
148,47,00000008,00108093,1,00000010
151,48,0000000c,00208463,0,00000000
154,49,00000010,fe000ce3,0,00000000
157,50,00000008,00108093,1,00000011
160,51,0000000c,00208463,0,00000000
163,52,00000010,fe000ce3,0,00000000
166,53,00000008,00108093,1,00000012
169,54,0000000c,00208463,0,00000000
172,55,00000010,fe000ce3,0,00000000
175,56,00000008,00108093,1,00000013
178,57,0000000c,00208463,0,00000000
181,58,00000010,fe000ce3,0,00000000
184,59,00000008,00108093,1,00000014
187,60,0000000c,00208463,0,00000000
190,61,00000010,fe000ce3,0,00000000
193,62,00000008,00108093,1,00000015
196,63,0000000c,00208463,0,00000000
199,64,00000010,fe000ce3,0,00000000
202,65,00000008,00108093,1,00000016
205,66,0000000c,00208463,0,00000000
208,67,00000010,fe000ce3,0,00000000
211,68,00000008,00108093,1,00000017
214,69,0000000c,00208463,0,00000000
217,70,00000010,fe000ce3,0,00000000
220,71,00000008,00108093,1,00000018
223,72,0000000c,00208463,0,00000000
226,73,00000010,fe000ce3,0,00000000
229,74,00000008,00108093,1,00000019
232,75,0000000c,00208463,0,00000000
235,76,00000010,fe000ce3,0,00000000
238,77,00000008,00108093,1,0000001a
241,78,0000000c,00208463,0,00000000
