cycle,index,pc,instruction,rd,value
6,0,00000000,00000093,1,00000000
9,1,00000004,00400213,4,00000004
12,2,00000008,00000113,2,00000000
15,3,0000000c,02000193,3,00000020
19,4,00000010,00012283,5,00000001
24,5,00000014,005080b3,1,00000001
27,6,00000018,00410113,2,00000004
30,7,0000001c,fff18193,3,0000001f
33,8,00000020,00018463,0,00000000
36,9,00000024,fe0006e3,0,00000000
41,10,00000010,00012283,5,00000002
46,11,00000014,005080b3,1,00000003
49,12,00000018,00410113,2,00000008
52,13,0000001c,fff18193,3,0000001e
55,14,00000020,00018463,0,00000000
58,15,00000024,fe0006e3,0,00000000
62,16,00000010,00012283,5,00000003
67,17,00000014,005080b3,1,00000006
70,18,00000018,00410113,2,0000000c
73,19,0000001c,fff18193,3,0000001d
76,20,00000020,00018463,0,00000000
79,21,00000024,fe0006e3,0,00000000
83,22,00000010,00012283,5,00000004
88,23,00000014,005080b3,1,0000000a
91,24,00000018,00410113,2,00000010
94,25,0000001c,fff18193,3,0000001c
97,26,00000020,00018463,0,00000000
100,27,00000024,fe0006e3,0,00000000
104,28,00000010,00012283,5,00000005
109,29,00000014,005080b3,1,0000000f
112,30,00000018,00410113,2,00000014
115,31,0000001c,fff18193,3,0000001b
118,32,00000020,00018463,0,00000000
121,33,00000024,fe0006e3,0,00000000
125,34,00000010,00012283,5,00000006
130,35,00000014,005080b3,1,00000015
133,36,00000018,00410113,2,00000018
136,37,0000001c,fff18193,3,0000001a
139,38,00000020,00018463,0,00000000
142,39,00000024,fe0006e3,0,00000000
146,40,00000010,00012283,5,00000007
151,41,00000014,005080b3,1,0000001c
154,42,00000018,00410113,2,0000001c
157,43,0000001c,fff18193,3,00000019
160,44,00000020,00018463,0,00000000
163,45,00000024,fe0006e3,0,00000000
167,46,00000010,00012283,5,00000008
172,47,00000014,005080b3,1,00000024
175,48,00000018,00410113,2,00000020
178,49,0000001c,fff18193,3,00000018
181,50,00000020,00018463,0,00000000
184,51,00000024,fe0006e3,0,00000000
188,52,00000010,00012283,5,00000009
193,53,00000014,005080b3,1,0000002d
196,54,00000018,00410113,2,00000024
199,55,0000001c,fff18193,3,00000017
202,56,00000020,00018463,0,00000000
205,57,00000024,fe0006e3,0,00000000
209,58,00000010,00012283,5,0000000a
214,59,00000014,005080b3,1,00000037
217,60,00000018,00410113,2,00000028
220,61,0000001c,fff18193,3,00000016
223,62,00000020,00018463,0,00000000
226,63,00000024,fe0006e3,0,00000000
230,64,00000010,00012283,5,0000000b
235,65,00000014,005080b3,1,00000042
238,66,00000018,00410113,2,0000002c
241,67,0000001c,fff18193,3,00000015
244,68,00000020,00018463,0,00000000
247,69,00000024,fe0006e3,0,00000000
251,70,00000010,00012283,5,0000000c
256,71,00000014,005080b3,1,0000004e
259,72,00000018,00410113,2,00000030
262,73,0000001c,fff18193,3,00000014
265,74,00000020,00018463,0,00000000
268,75,00000024,fe0006e3,0,00000000
272,76,00000010,00012283,5,0000000d
277,77,00000014,005080b3,1,0000005b
280,78,00000018,00410113,2,00000034
283,79,0000001c,fff18193,3,00000013
286,80,00000020,00018463,0,00000000
289,81,00000024,fe0006e3,0,00000000
293,82,00000010,00012283,5,0000000e
298,83,00000014,005080b3,1,00000069
301,84,00000018,00410113,2,00000038
304,85,0000001c,fff18193,3,00000012
307,86,00000020,00018463,0,00000000
310,87,00000024,fe0006e3,0,00000000
314,88,00000010,00012283,5,0000000f
319,89,00000014,005080b3,1,00000078
322,90,00000018,00410113,2,0000003c
325,91,0000001c,fff18193,3,00000011
328,92,00000020,00018463,0,00000000
331,93,00000024,fe0006e3,0,00000000
335,94,00000010,00012283,5,00000010
340,95,00000014,005080b3,1,00000088
343,96,00000018,00410113,2,00000040
346,97,0000001c,fff18193,3,00000010
349,98,00000020,00018463,0,00000000
352,99,00000024,fe0006e3,0,00000000
356,100,00000010,00012283,5,00000011
361,101,00000014,005080b3,1,00000099
364,102,00000018,00410113,2,00000044
367,103,0000001c,fff18193,3,0000000f
370,104,00000020,00018463,0,00000000
373,105,00000024,fe0006e3,0,00000000
377,106,00000010,00012283,5,00000012
382,107,00000014,005080b3,1,000000ab
385,108,00000018,00410113,2,00000048
388,109,0000001c,fff18193,3,0000000e
391,110,00000020,00018463,0,00000000
394,111,00000024,fe0006e3,0,00000000
398,112,00000010,00012283,5,00000013
403,113,00000014,005080b3,1,000000be
406,114,00000018,00410113,2,0000004c
409,115,0000001c,fff18193,3,0000000d
412,116,00000020,00018463,0,00000000
415,117,00000024,fe0006e3,0,00000000
419,118,00000010,00012283,5,00000014
424,119,00000014,005080b3,1,000000d2
427,120,00000018,00410113,2,00000050
430,121,0000001c,fff18193,3,0000000c
433,122,00000020,00018463,0,00000000
436,123,00000024,fe0006e3,0,00000000
440,124,00000010,00012283,5,00000015
445,125,00000014,005080b3,1,000000e7
448,126,00000018,00410113,2,00000054
451,127,0000001c,fff18193,3,0000000b
454,128,00000020,00018463,0,00000000
457,129,00000024,fe0006e3,0,00000000
461,130,00000010,00012283,5,00000016
466,131,00000014,005080b3,1,000000fd
469,132,00000018,00410113,2,00000058
472,133,0000001c,fff18193,3,0000000a
475,134,00000020,00018463,0,00000000
478,135,00000024,fe0006e3,0,00000000
482,136,00000010,00012283,5,00000017
487,137,00000014,005080b3,1,00000114
490,138,00000018,00410113,2,0000005c
493,139,0000001c,fff18193,3,00000009
496,140,00000020,00018463,0,00000000
499,141,00000024,fe0006e3,0,00000000
503,142,00000010,00012283,5,00000018
508,143,00000014,005080b3,1,0000012c
511,144,00000018,00410113,2,00000060
514,145,0000001c,fff18193,3,00000008
517,146,00000020,00018463,0,00000000
520,147,00000024,fe0006e3,0,00000000
524,148,00000010,00012283,5,00000019
529,149,00000014,005080b3,1,00000145
532,150,00000018,00410113,2,00000064
535,151,0000001c,fff18193,3,00000007
538,152,00000020,00018463,0,00000000
541,153,00000024,fe0006e3,0,00000000
545,154,00000010,00012283,5,0000001a
550,155,00000014,005080b3,1,0000015f
553,156,00000018,00410113,2,00000068
556,157,0000001c,fff18193,3,00000006
559,158,00000020,00018463,0,00000000
562,159,00000024,fe0006e3,0,00000000
566,160,00000010,00012283,5,0000001b
571,161,00000014,005080b3,1,0000017a
574,162,00000018,00410113,2,0000006c
577,163,0000001c,fff18193,3,00000005
580,164,00000020,00018463,0,00000000
583,165,00000024,fe0006e3,0,00000000
587,166,00000010,00012283,5,0000001c
592,167,00000014,005080b3,1,00000196
