cycle,index,pc,instruction,rd,value
1,0,00000000,00006113,2,00000000
2,1,00000004,00406193,3,00000004
3,2,00000008,00106213,4,00000001
4,3,0000000c,000000b3,1,00000000
5,4,00000010,402182b3,5,00000004
6,5,00000014,00006313,6,00000000
7,6,00000018,000083b3,7,00000000
8,7,0000001c,0003a403,8,00000007
9,8,00000020,0043a483,9,00000003
10,9,00000024,0084a533,10,00000001
11,10,00000028,00050663,0,00000000
12,11,0000002c,0093a023,0,00000000
13,12,00000030,0083a223,0,00000000
14,13,00000034,003383b3,7,00000004
15,14,00000038,00430333,6,00000001
16,15,0000003c,00530463,0,00000000
17,16,00000040,fc000ee3,0,00000000
18,17,0000001c,0003a403,8,00000007
19,18,00000020,0043a483,9,00000009
20,19,00000024,0084a533,10,00000000
21,20,00000028,00050663,0,00000000
22,21,00000034,003383b3,7,00000008
23,22,00000038,00430333,6,00000002
24,23,0000003c,00530463,0,00000000
25,24,00000040,fc000ee3,0,00000000
26,25,0000001c,0003a403,8,00000009
27,26,00000020,0043a483,9,00000001
28,27,00000024,0084a533,10,00000001
29,28,00000028,00050663,0,00000000
30,29,0000002c,0093a023,0,00000000
31,30,00000030,0083a223,0,00000000
32,31,00000034,003383b3,7,0000000c
33,32,00000038,00430333,6,00000003
34,33,0000003c,00530463,0,00000000
35,34,00000040,fc000ee3,0,00000000
36,35,0000001c,0003a403,8,00000009
37,36,00000020,0043a483,9,00000005
38,37,00000024,0084a533,10,00000001
39,38,00000028,00050663,0,00000000
40,39,0000002c,0093a023,0,00000000
41,40,00000030,0083a223,0,00000000
42,41,00000034,003383b3,7,00000010
43,42,00000038,00430333,6,00000004
44,43,0000003c,00530463,0,00000000
45,44,00000044,00410133,2,00000001
46,45,00000048,00310463,0,00000000
47,46,0000004c,fc0002e3,0,00000000
48,47,00000010,402182b3,5,00000003
49,48,00000014,00006313,6,00000000
50,49,00000018,000083b3,7,00000000
51,50,0000001c,0003a403,8,00000003
52,51,00000020,0043a483,9,00000007
53,52,00000024,0084a533,10,00000000
54,53,00000028,00050663,0,00000000
55,54,00000034,003383b3,7,00000004
56,55,00000038,00430333,6,00000001
57,56,0000003c,00530463,0,00000000
58,57,00000040,fc000ee3,0,00000000
59,58,0000001c,0003a403,8,00000007
60,59,00000020,0043a483,9,00000001
61,60,00000024,0084a533,10,00000001
62,61,00000028,00050663,0,00000000
63,62,0000002c,0093a023,0,00000000
64,63,00000030,0083a223,0,00000000
65,64,00000034,003383b3,7,00000008
66,65,00000038,00430333,6,00000002
67,66,0000003c,00530463,0,00000000
68,67,00000040,fc000ee3,0,00000000
69,68,0000001c,0003a403,8,00000007
70,69,00000020,0043a483,9,00000005
71,70,00000024,0084a533,10,00000001
72,71,00000028,00050663,0,00000000
73,72,0000002c,0093a023,0,00000000
74,73,00000030,0083a223,0,00000000
75,74,00000034,003383b3,7,0000000c
76,75,00000038,00430333,6,00000003
77,76,0000003c,00530463,0,00000000
78,77,00000044,00410133,2,00000002
79,78,00000048,00310463,0,00000000
80,79,0000004c,fc0002e3,0,00000000
81,80,00000010,402182b3,5,00000002
82,81,00000014,00006313,6,00000000
83,82,00000018,000083b3,7,00000000
84,83,0000001c,0003a403,8,00000003
85,84,00000020,0043a483,9,00000001
86,85,00000024,0084a533,10,00000001
87,86,00000028,00050663,0,00000000
88,87,0000002c,0093a023,0,00000000
89,88,00000030,0083a223,0,00000000
90,89,00000034,003383b3,7,00000004
91,90,00000038,00430333,6,00000001
92,91,0000003c,00530463,0,00000000
93,92,00000040,fc000ee3,0,00000000
94,93,0000001c,0003a403,8,00000003
95,94,00000020,0043a483,9,00000005
96,95,00000024,0084a533,10,00000000
97,96,00000028,00050663,0,00000000
98,97,00000034,003383b3,7,00000008
99,98,00000038,00430333,6,00000002
100,99,0000003c,00530463,0,00000000
101,100,00000044,00410133,2,00000003
102,101,00000048,00310463,0,00000000
103,102,0000004c,fc0002e3,0,00000000
104,103,00000010,402182b3,5,00000001
105,104,00000014,00006313,6,00000000
106,105,00000018,000083b3,7,00000000
107,106,0000001c,0003a403,8,00000001
108,107,00000020,0043a483,9,00000003
109,108,00000024,0084a533,10,00000000
110,109,00000028,00050663,0,00000000
111,110,00000034,003383b3,7,00000004
112,111,00000038,00430333,6,00000001
113,112,0000003c,00530463,0,00000000
114,113,00000044,00410133,2,00000004
115,114,00000048,00310463,0,00000000
116,115,00000050,00000063,0,00000000
