cycle,index,pc,instruction,rd,value
5,0,00000000,00000013,0,00000000
6,1,00000004,00108093,1,00000001
7,2,00000008,00108093,1,00000002
8,3,0000000c,00108093,1,00000003
9,4,00000010,00108093,1,00000004
10,5,00000014,00108093,1,00000005
11,6,00000018,00108093,1,00000006
12,7,0000001c,00108093,1,00000007
13,8,00000020,00108093,1,00000008
14,9,00000024,00108093,1,00000009
15,10,00000028,00108093,1,0000000a
16,11,0000002c,00108093,1,0000000b
17,12,00000030,00108093,1,0000000c
18,13,00000034,00108093,1,0000000d
19,14,00000038,00108093,1,0000000e
20,15,0000003c,00108093,1,0000000f
21,16,00000040,00108093,1,00000010
22,17,00000044,00108093,1,00000011
23,18,00000048,00108093,1,00000012
24,19,0000004c,00108093,1,00000013
25,20,00000050,00108093,1,00000014
26,21,00000054,00108093,1,00000015
27,22,00000058,00108093,1,00000016
28,23,0000005c,00108093,1,00000017
29,24,00000060,00108093,1,00000018
30,25,00000064,00108093,1,00000019
31,26,00000068,00108093,1,0000001a
32,27,0000006c,00108093,1,0000001b
33,28,00000070,00108093,1,0000001c
34,29,00000074,00108093,1,0000001d
35,30,00000078,00108093,1,0000001e
36,31,0000007c,00108093,1,0000001f
37,32,00000080,00108093,1,00000020
38,33,00000084,00108093,1,00000021
39,34,00000088,00108093,1,00000022
40,35,0000008c,00108093,1,00000023
41,36,00000090,00108093,1,00000024
42,37,00000094,00108093,1,00000025
43,38,00000098,00108093,1,00000026
44,39,0000009c,00108093,1,00000027
45,40,000000a0,00108093,1,00000028
46,41,000000a4,00108093,1,00000029
47,42,000000a8,00108093,1,0000002a
48,43,000000ac,00108093,1,0000002b
49,44,000000b0,00108093,1,0000002c
50,45,000000b4,00108093,1,0000002d
51,46,000000b8,00108093,1,0000002e
52,47,000000bc,00108093,1,0000002f
53,48,000000c0,00108093,1,00000030
54,49,000000c4,00108093,1,00000031
55,50,000000c8,00108093,1,00000032
56,51,000000cc,00108093,1,00000033
57,52,000000d0,00108093,1,00000034
58,53,000000d4,00108093,1,00000035
59,54,000000d8,00108093,1,00000036
60,55,000000dc,00108093,1,00000037
61,56,000000e0,00108093,1,00000038
62,57,000000e4,00108093,1,00000039
63,58,000000e8,00108093,1,0000003a
64,59,000000ec,00108093,1,0000003b
65,60,000000f0,00108093,1,0000003c
66,61,000000f4,00108093,1,0000003d
67,62,000000f8,00108093,1,0000003e
68,63,000000fc,00108093,1,0000003f
69,64,00000100,00108093,1,00000040
70,65,00000104,00108093,1,00000041
71,66,00000108,00108093,1,00000042
72,67,0000010c,00108093,1,00000043
73,68,00000110,00108093,1,00000044
74,69,00000114,00108093,1,00000045
75,70,00000118,00108093,1,00000046
76,71,0000011c,00108093,1,00000047
77,72,00000120,00108093,1,00000048
78,73,00000124,00108093,1,00000049
79,74,00000128,00108093,1,0000004a
80,75,0000012c,00108093,1,0000004b
81,76,00000130,00108093,1,0000004c
82,77,00000134,00108093,1,0000004d
83,78,00000138,00108093,1,0000004e
84,79,0000013c,00108093,1,0000004f
85,80,00000140,00108093,1,00000050
86,81,00000144,00108093,1,00000051
87,82,00000148,00108093,1,00000052
88,83,0000014c,00108093,1,00000053
