cycle,index,pc,instruction,rd,value
17,0,00000000,00000093,1,00000000
18,1,00000004,08000113,2,00000080
19,2,00000008,00108093,1,00000001
20,3,0000000c,00208463,0,00000000
33,4,00000010,fe000ce3,0,00000000
36,5,00000008,00108093,1,00000002
37,6,0000000c,00208463,0,00000000
38,7,00000010,fe000ce3,0,00000000
41,8,00000008,00108093,1,00000003
42,9,0000000c,00208463,0,00000000
43,10,00000010,fe000ce3,0,00000000
46,11,00000008,00108093,1,00000004
47,12,0000000c,00208463,0,00000000
48,13,00000010,fe000ce3,0,00000000
51,14,00000008,00108093,1,00000005
52,15,0000000c,00208463,0,00000000
53,16,00000010,fe000ce3,0,00000000
56,17,00000008,00108093,1,00000006
57,18,0000000c,00208463,0,00000000
58,19,00000010,fe000ce3,0,00000000
61,20,00000008,00108093,1,00000007
62,21,0000000c,00208463,0,00000000
63,22,00000010,fe000ce3,0,00000000
66,23,00000008,00108093,1,00000008
67,24,0000000c,00208463,0,00000000
68,25,00000010,fe000ce3,0,00000000
71,26,00000008,00108093,1,00000009
72,27,0000000c,00208463,0,00000000
73,28,00000010,fe000ce3,0,00000000
76,29,00000008,00108093,1,0000000a
77,30,0000000c,00208463,0,00000000
78,31,00000010,fe000ce3,0,00000000
81,32,00000008,00108093,1,0000000b
82,33,0000000c,00208463,0,00000000
83,34,00000010,fe000ce3,0,00000000
86,35,00000008,00108093,1,0000000c
87,36,0000000c,00208463,0,00000000
88,37,00000010,fe000ce3,0,00000000
91,38,00000008,00108093,1,0000000d
92,39,0000000c,00208463,0,00000000
93,40,00000010,fe000ce3,0,00000000
96,41,00000008,00108093,1,0000000e
97,42,0000000c,00208463,0,00000000
98,43,00000010,fe000ce3,0,00000000
101,44,00000008,00108093,1,0000000f
102,45,0000000c,00208463,0,00000000
103,46,00000010,fe000ce3,0,00000000
106,47,00000008,00108093,1,00000010
107,48,0000000c,00208463,0,00000000
108,49,00000010,fe000ce3,0,00000000
111,50,00000008,00108093,1,00000011
112,51,0000000c,00208463,0,00000000
113,52,00000010,fe000ce3,0,00000000
116,53,00000008,00108093,1,00000012
117,54,0000000c,00208463,0,00000000
118,55,00000010,fe000ce3,0,00000000
121,56,00000008,00108093,1,00000013
122,57,0000000c,00208463,0,00000000
123,58,00000010,fe000ce3,0,00000000
126,59,00000008,00108093,1,00000014
127,60,0000000c,00208463,0,00000000
128,61,00000010,fe000ce3,0,00000000
131,62,00000008,00108093,1,00000015
132,63,0000000c,00208463,0,00000000
133,64,00000010,fe000ce3,0,00000000
136,65,00000008,00108093,1,00000016
137,66,0000000c,00208463,0,00000000
138,67,00000010,fe000ce3,0,00000000
141,68,00000008,00108093,1,00000017
142,69,0000000c,00208463,0,00000000
143,70,00000010,fe000ce3,0,00000000
146,71,00000008,00108093,1,00000018
147,72,0000000c,00208463,0,00000000
148,73,00000010,fe000ce3,0,00000000
151,74,00000008,00108093,1,00000019
152,75,0000000c,00208463,0,00000000
153,76,00000010,fe000ce3,0,00000000
156,77,00000008,00108093,1,0000001a
157,78,0000000c,00208463,0,00000000
158,79,00000010,fe000ce3,0,00000000
161,80,00000008,00108093,1,0000001b
162,81,0000000c,00208463,0,00000000
163,82,00000010,fe000ce3,0,00000000
166,83,00000008,00108093,1,0000001c
167,84,0000000c,00208463,0,00000000
168,85,00000010,fe000ce3,0,00000000
171,86,00000008,00108093,1,0000001d
172,87,0000000c,00208463,0,00000000
173,88,00000010,fe000ce3,0,00000000
176,89,00000008,00108093,1,0000001e
177,90,0000000c,00208463,0,00000000
178,91,00000010,fe000ce3,0,00000000
181,92,00000008,00108093,1,0000001f
182,93,0000000c,00208463,0,00000000
183,94,00000010,fe000ce3,0,00000000
186,95,00000008,00108093,1,00000020
187,96,0000000c,00208463,0,00000000
188,97,00000010,fe000ce3,0,00000000
191,98,00000008,00108093,1,00000021
192,99,0000000c,00208463,0,00000000
193,100,00000010,fe000ce3,0,00000000
196,101,00000008,00108093,1,00000022
197,102,0000000c,00208463,0,00000000
198,103,00000010,fe000ce3,0,00000000
201,104,00000008,00108093,1,00000023
202,105,0000000c,00208463,0,00000000
203,106,00000010,fe000ce3,0,00000000
206,107,00000008,00108093,1,00000024
207,108,0000000c,00208463,0,00000000
208,109,00000010,fe000ce3,0,00000000
211,110,00000008,00108093,1,00000025
212,111,0000000c,00208463,0,00000000
213,112,00000010,fe000ce3,0,00000000
216,113,00000008,00108093,1,00000026
217,114,0000000c,00208463,0,00000000
218,115,00000010,fe000ce3,0,00000000
221,116,00000008,00108093,1,00000027
222,117,0000000c,00208463,0,00000000
223,118,00000010,fe000ce3,0,00000000
226,119,00000008,00108093,1,00000028
227,120,0000000c,00208463,0,00000000
228,121,00000010,fe000ce3,0,00000000
231,122,00000008,00108093,1,00000029
232,123,0000000c,00208463,0,00000000
233,124,00000010,fe000ce3,0,00000000
236,125,00000008,00108093,1,0000002a
237,126,0000000c,00208463,0,00000000
238,127,00000010,fe000ce3,0,00000000
241,128,00000008,00108093,1,0000002b
242,129,0000000c,00208463,0,00000000
243,130,00000010,fe000ce3,0,00000000
246,131,00000008,00108093,1,0000002c
247,132,0000000c,00208463,0,00000000
248,133,00000010,fe000ce3,0,00000000
251,134,00000008,00108093,1,0000002d
252,135,0000000c,00208463,0,00000000
253,136,00000010,fe000ce3,0,00000000
256,137,00000008,00108093,1,0000002e
257,138,0000000c,00208463,0,00000000
258,139,00000010,fe000ce3,0,00000000
261,140,00000008,00108093,1,0000002f
262,141,0000000c,00208463,0,00000000
263,142,00000010,fe000ce3,0,00000000
266,143,00000008,00108093,1,00000030
267,144,0000000c,00208463,0,00000000
268,145,00000010,fe000ce3,0,00000000
271,146,00000008,00108093,1,00000031
272,147,0000000c,00208463,0,00000000
273,148,00000010,fe000ce3,0,00000000
276,149,00000008,00108093,1,00000032
277,150,0000000c,00208463,0,00000000
278,151,00000010,fe000ce3,0,00000000
281,152,00000008,00108093,1,00000033
282,153,0000000c,00208463,0,00000000
283,154,00000010,fe000ce3,0,00000000
286,155,00000008,00108093,1,00000034
287,156,0000000c,00208463,0,00000000
288,157,00000010,fe000ce3,0,00000000
291,158,00000008,00108093,1,00000035
292,159,0000000c,00208463,0,00000000
293,160,00000010,fe000ce3,0,00000000
296,161,00000008,00108093,1,00000036
297,162,0000000c,00208463,0,00000000
298,163,00000010,fe000ce3,0,00000000
301,164,00000008,00108093,1,00000037
302,165,0000000c,00208463,0,00000000
303,166,00000010,fe000ce3,0,00000000
306,167,00000008,00108093,1,00000038
307,168,0000000c,00208463,0,00000000
308,169,00000010,fe000ce3,0,00000000
311,170,00000008,00108093,1,00000039
312,171,0000000c,00208463,0,00000000
313,172,00000010,fe000ce3,0,00000000
316,173,00000008,00108093,1,0000003a
317,174,0000000c,00208463,0,00000000
318,175,00000010,fe000ce3,0,00000000
321,176,00000008,00108093,1,0000003b
322,177,0000000c,00208463,0,00000000
323,178,00000010,fe000ce3,0,00000000
326,179,00000008,00108093,1,0000003c
327,180,0000000c,00208463,0,00000000
328,181,00000010,fe000ce3,0,00000000
331,182,00000008,00108093,1,0000003d
332,183,0000000c,00208463,0,00000000
333,184,00000010,fe000ce3,0,00000000
336,185,00000008,00108093,1,0000003e
337,186,0000000c,00208463,0,00000000
338,187,00000010,fe000ce3,0,00000000
341,188,00000008,00108093,1,0000003f
342,189,0000000c,00208463,0,00000000
343,190,00000010,fe000ce3,0,00000000
346,191,00000008,00108093,1,00000040
347,192,0000000c,00208463,0,00000000
348,193,00000010,fe000ce3,0,00000000
351,194,00000008,00108093,1,00000041
352,195,0000000c,00208463,0,00000000
353,196,00000010,fe000ce3,0,00000000
356,197,00000008,00108093,1,00000042
357,198,0000000c,00208463,0,00000000
358,199,00000010,fe000ce3,0,00000000
361,200,00000008,00108093,1,00000043
362,201,0000000c,00208463,0,00000000
363,202,00000010,fe000ce3,0,00000000
366,203,00000008,00108093,1,00000044
367,204,0000000c,00208463,0,00000000
368,205,00000010,fe000ce3,0,00000000
371,206,00000008,00108093,1,00000045
372,207,0000000c,00208463,0,00000000
373,208,00000010,fe000ce3,0,00000000
376,209,00000008,00108093,1,00000046
377,210,0000000c,00208463,0,00000000
378,211,00000010,fe000ce3,0,00000000
381,212,00000008,00108093,1,00000047
382,213,0000000c,00208463,0,00000000
383,214,00000010,fe000ce3,0,00000000
386,215,00000008,00108093,1,00000048
387,216,0000000c,00208463,0,00000000
388,217,00000010,fe000ce3,0,00000000
391,218,00000008,00108093,1,00000049
392,219,0000000c,00208463,0,00000000
393,220,00000010,fe000ce3,0,00000000
396,221,00000008,00108093,1,0000004a
397,222,0000000c,00208463,0,00000000
398,223,00000010,fe000ce3,0,00000000
401,224,00000008,00108093,1,0000004b
402,225,0000000c,00208463,0,00000000
403,226,00000010,fe000ce3,0,00000000
406,227,00000008,00108093,1,0000004c
407,228,0000000c,00208463,0,00000000
408,229,00000010,fe000ce3,0,00000000
411,230,00000008,00108093,1,0000004d
412,231,0000000c,00208463,0,00000000
413,232,00000010,fe000ce3,0,00000000
416,233,00000008,00108093,1,0000004e
417,234,0000000c,00208463,0,00000000
418,235,00000010,fe000ce3,0,00000000
421,236,00000008,00108093,1,0000004f
422,237,0000000c,00208463,0,00000000
423,238,00000010,fe000ce3,0,00000000
426,239,00000008,00108093,1,00000050
427,240,0000000c,00208463,0,00000000
428,241,00000010,fe000ce3,0,00000000
431,242,00000008,00108093,1,00000051
432,243,0000000c,00208463,0,00000000
433,244,00000010,fe000ce3,0,00000000
436,245,00000008,00108093,1,00000052
437,246,0000000c,00208463,0,00000000
438,247,00000010,fe000ce3,0,00000000
441,248,00000008,00108093,1,00000053
442,249,0000000c,00208463,0,00000000
443,250,00000010,fe000ce3,0,00000000
446,251,00000008,00108093,1,00000054
447,252,0000000c,00208463,0,00000000
448,253,00000010,fe000ce3,0,00000000
451,254,00000008,00108093,1,00000055
452,255,0000000c,00208463,0,00000000
453,256,00000010,fe000ce3,0,00000000
456,257,00000008,00108093,1,00000056
457,258,0000000c,00208463,0,00000000
458,259,00000010,fe000ce3,0,00000000
461,260,00000008,00108093,1,00000057
462,261,0000000c,00208463,0,00000000
463,262,00000010,fe000ce3,0,00000000
466,263,00000008,00108093,1,00000058
467,264,0000000c,00208463,0,00000000
468,265,00000010,fe000ce3,0,00000000
471,266,00000008,00108093,1,00000059
472,267,0000000c,00208463,0,00000000
473,268,00000010,fe000ce3,0,00000000
476,269,00000008,00108093,1,0000005a
477,270,0000000c,00208463,0,00000000
478,271,00000010,fe000ce3,0,00000000
481,272,00000008,00108093,1,0000005b
482,273,0000000c,00208463,0,00000000
483,274,00000010,fe000ce3,0,00000000
486,275,00000008,00108093,1,0000005c
487,276,0000000c,00208463,0,00000000
488,277,00000010,fe000ce3,0,00000000
491,278,00000008,00108093,1,0000005d
492,279,0000000c,00208463,0,00000000
493,280,00000010,fe000ce3,0,00000000
496,281,00000008,00108093,1,0000005e
497,282,0000000c,00208463,0,00000000
498,283,00000010,fe000ce3,0,00000000
501,284,00000008,00108093,1,0000005f
502,285,0000000c,00208463,0,00000000
503,286,00000010,fe000ce3,0,00000000
506,287,00000008,00108093,1,00000060
507,288,0000000c,00208463,0,00000000
508,289,00000010,fe000ce3,0,00000000
511,290,00000008,00108093,1,00000061
512,291,0000000c,00208463,0,00000000
513,292,00000010,fe000ce3,0,00000000
516,293,00000008,00108093,1,00000062
517,294,0000000c,00208463,0,00000000
518,295,00000010,fe000ce3,0,00000000
521,296,00000008,00108093,1,00000063
522,297,0000000c,00208463,0,00000000
523,298,00000010,fe000ce3,0,00000000
526,299,00000008,00108093,1,00000064
527,300,0000000c,00208463,0,00000000
528,301,00000010,fe000ce3,0,00000000
531,302,00000008,00108093,1,00000065
532,303,0000000c,00208463,0,00000000
533,304,00000010,fe000ce3,0,00000000
536,305,00000008,00108093,1,00000066
537,306,0000000c,00208463,0,00000000
538,307,00000010,fe000ce3,0,00000000
541,308,00000008,00108093,1,00000067
542,309,0000000c,00208463,0,00000000
543,310,00000010,fe000ce3,0,00000000
546,311,00000008,00108093,1,00000068
547,312,0000000c,00208463,0,00000000
548,313,00000010,fe000ce3,0,00000000
551,314,00000008,00108093,1,00000069
552,315,0000000c,00208463,0,00000000
553,316,00000010,fe000ce3,0,00000000
556,317,00000008,00108093,1,0000006a
557,318,0000000c,00208463,0,00000000
558,319,00000010,fe000ce3,0,00000000
561,320,00000008,00108093,1,0000006b
562,321,0000000c,00208463,0,00000000
563,322,00000010,fe000ce3,0,00000000
566,323,00000008,00108093,1,0000006c
567,324,0000000c,00208463,0,00000000
568,325,00000010,fe000ce3,0,00000000
571,326,00000008,00108093,1,0000006d
572,327,0000000c,00208463,0,00000000
573,328,00000010,fe000ce3,0,00000000
576,329,00000008,00108093,1,0000006e
577,330,0000000c,00208463,0,00000000
578,331,00000010,fe000ce3,0,00000000
581,332,00000008,00108093,1,0000006f
582,333,0000000c,00208463,0,00000000
583,334,00000010,fe000ce3,0,00000000
586,335,00000008,00108093,1,00000070
587,336,0000000c,00208463,0,00000000
588,337,00000010,fe000ce3,0,00000000
591,338,00000008,00108093,1,00000071
592,339,0000000c,00208463,0,00000000
593,340,00000010,fe000ce3,0,00000000
596,341,00000008,00108093,1,00000072
597,342,0000000c,00208463,0,00000000
598,343,00000010,fe000ce3,0,00000000
601,344,00000008,00108093,1,00000073
602,345,0000000c,00208463,0,00000000
603,346,00000010,fe000ce3,0,00000000
606,347,00000008,00108093,1,00000074
607,348,0000000c,00208463,0,00000000
608,349,00000010,fe000ce3,0,00000000
611,350,00000008,00108093,1,00000075
612,351,0000000c,00208463,0,00000000
613,352,00000010,fe000ce3,0,00000000
616,353,00000008,00108093,1,00000076
617,354,0000000c,00208463,0,00000000
618,355,00000010,fe000ce3,0,00000000
621,356,00000008,00108093,1,00000077
622,357,0000000c,00208463,0,00000000
623,358,00000010,fe000ce3,0,00000000
626,359,00000008,00108093,1,00000078
627,360,0000000c,00208463,0,00000000
628,361,00000010,fe000ce3,0,00000000
631,362,00000008,00108093,1,00000079
632,363,0000000c,00208463,0,00000000
633,364,00000010,fe000ce3,0,00000000
636,365,00000008,00108093,1,0000007a
637,366,0000000c,00208463,0,00000000
638,367,00000010,fe000ce3,0,00000000
641,368,00000008,00108093,1,0000007b
642,369,0000000c,00208463,0,00000000
643,370,00000010,fe000ce3,0,00000000
646,371,00000008,00108093,1,0000007c
647,372,0000000c,00208463,0,00000000
648,373,00000010,fe000ce3,0,00000000
651,374,00000008,00108093,1,0000007d
652,375,0000000c,00208463,0,00000000
653,376,00000010,fe000ce3,0,00000000
656,377,00000008,00108093,1,0000007e
657,378,0000000c,00208463,0,00000000
658,379,00000010,fe000ce3,0,00000000
661,380,00000008,00108093,1,0000007f
662,381,0000000c,00208463,0,00000000
663,382,00000010,fe000ce3,0,00000000
666,383,00000008,00108093,1,00000080
667,384,0000000c,00208463,0,00000000
670,385,00000014,00000063,0,00000000
