cycle,index,pc,instruction,rd,value
1,0,00000000,00000093,1,00000000
2,1,00000004,00400213,4,00000004
3,2,00000008,00000113,2,00000000
4,3,0000000c,02000193,3,00000020
5,4,00000010,00012283,5,00000001
6,5,00000014,005080b3,1,00000001
7,6,00000018,00410113,2,00000004
8,7,0000001c,fff18193,3,0000001f
9,8,00000020,00018463,0,00000000
10,9,00000024,fe0006e3,0,00000000
11,10,00000010,00012283,5,00000002
12,11,00000014,005080b3,1,00000003
13,12,00000018,00410113,2,00000008
14,13,0000001c,fff18193,3,0000001e
15,14,00000020,00018463,0,00000000
16,15,00000024,fe0006e3,0,00000000
17,16,00000010,00012283,5,00000003
18,17,00000014,005080b3,1,00000006
19,18,00000018,00410113,2,0000000c
20,19,0000001c,fff18193,3,0000001d
21,20,00000020,00018463,0,00000000
22,21,00000024,fe0006e3,0,00000000
23,22,00000010,00012283,5,00000004
24,23,00000014,005080b3,1,0000000a
25,24,00000018,00410113,2,00000010
26,25,0000001c,fff18193,3,0000001c
27,26,00000020,00018463,0,00000000
28,27,00000024,fe0006e3,0,00000000
29,28,00000010,00012283,5,00000005
30,29,00000014,005080b3,1,0000000f
31,30,00000018,00410113,2,00000014
32,31,0000001c,fff18193,3,0000001b
33,32,00000020,00018463,0,00000000
34,33,00000024,fe0006e3,0,00000000
35,34,00000010,00012283,5,00000006
36,35,00000014,005080b3,1,00000015
37,36,00000018,00410113,2,00000018
38,37,0000001c,fff18193,3,0000001a
39,38,00000020,00018463,0,00000000
40,39,00000024,fe0006e3,0,00000000
41,40,00000010,00012283,5,00000007
42,41,00000014,005080b3,1,0000001c
43,42,00000018,00410113,2,0000001c
44,43,0000001c,fff18193,3,00000019
45,44,00000020,00018463,0,00000000
46,45,00000024,fe0006e3,0,00000000
47,46,00000010,00012283,5,00000008
48,47,00000014,005080b3,1,00000024
49,48,00000018,00410113,2,00000020
50,49,0000001c,fff18193,3,00000018
51,50,00000020,00018463,0,00000000
52,51,00000024,fe0006e3,0,00000000
53,52,00000010,00012283,5,00000009
54,53,00000014,005080b3,1,0000002d
55,54,00000018,00410113,2,00000024
56,55,0000001c,fff18193,3,00000017
57,56,00000020,00018463,0,00000000
58,57,00000024,fe0006e3,0,00000000
59,58,00000010,00012283,5,0000000a
60,59,00000014,005080b3,1,00000037
61,60,00000018,00410113,2,00000028
62,61,0000001c,fff18193,3,00000016
63,62,00000020,00018463,0,00000000
64,63,00000024,fe0006e3,0,00000000
65,64,00000010,00012283,5,0000000b
66,65,00000014,005080b3,1,00000042
67,66,00000018,00410113,2,0000002c
68,67,0000001c,fff18193,3,00000015
69,68,00000020,00018463,0,00000000
70,69,00000024,fe0006e3,0,00000000
71,70,00000010,00012283,5,0000000c
72,71,00000014,005080b3,1,0000004e
73,72,00000018,00410113,2,00000030
74,73,0000001c,fff18193,3,00000014
75,74,00000020,00018463,0,00000000
76,75,00000024,fe0006e3,0,00000000
77,76,00000010,00012283,5,0000000d
78,77,00000014,005080b3,1,0000005b
79,78,00000018,00410113,2,00000034
80,79,0000001c,fff18193,3,00000013
81,80,00000020,00018463,0,00000000
82,81,00000024,fe0006e3,0,00000000
83,82,00000010,00012283,5,0000000e
84,83,00000014,005080b3,1,00000069
85,84,00000018,00410113,2,00000038
86,85,0000001c,fff18193,3,00000012
87,86,00000020,00018463,0,00000000
88,87,00000024,fe0006e3,0,00000000
89,88,00000010,00012283,5,0000000f
90,89,00000014,005080b3,1,00000078
91,90,00000018,00410113,2,0000003c
92,91,0000001c,fff18193,3,00000011
93,92,00000020,00018463,0,00000000
94,93,00000024,fe0006e3,0,00000000
95,94,00000010,00012283,5,00000010
96,95,00000014,005080b3,1,00000088
97,96,00000018,00410113,2,00000040
98,97,0000001c,fff18193,3,00000010
99,98,00000020,00018463,0,00000000
100,99,00000024,fe0006e3,0,00000000
101,100,00000010,00012283,5,00000011
102,101,00000014,005080b3,1,00000099
103,102,00000018,00410113,2,00000044
104,103,0000001c,fff18193,3,0000000f
105,104,00000020,00018463,0,00000000
106,105,00000024,fe0006e3,0,00000000
107,106,00000010,00012283,5,00000012
108,107,00000014,005080b3,1,000000ab
109,108,00000018,00410113,2,00000048
110,109,0000001c,fff18193,3,0000000e
111,110,00000020,00018463,0,00000000
112,111,00000024,fe0006e3,0,00000000
113,112,00000010,00012283,5,00000013
114,113,00000014,005080b3,1,000000be
115,114,00000018,00410113,2,0000004c
116,115,0000001c,fff18193,3,0000000d
117,116,00000020,00018463,0,00000000
118,117,00000024,fe0006e3,0,00000000
119,118,00000010,00012283,5,00000014
120,119,00000014,005080b3,1,000000d2
121,120,00000018,00410113,2,00000050
122,121,0000001c,fff18193,3,0000000c
123,122,00000020,00018463,0,00000000
124,123,00000024,fe0006e3,0,00000000
125,124,00000010,00012283,5,00000015
126,125,00000014,005080b3,1,000000e7
127,126,00000018,00410113,2,00000054
128,127,0000001c,fff18193,3,0000000b
129,128,00000020,00018463,0,00000000
130,129,00000024,fe0006e3,0,00000000
131,130,00000010,00012283,5,00000016
132,131,00000014,005080b3,1,000000fd
133,132,00000018,00410113,2,00000058
134,133,0000001c,fff18193,3,0000000a
135,134,00000020,00018463,0,00000000
136,135,00000024,fe0006e3,0,00000000
137,136,00000010,00012283,5,00000017
138,137,00000014,005080b3,1,00000114
139,138,00000018,00410113,2,0000005c
140,139,0000001c,fff18193,3,00000009
141,140,00000020,00018463,0,00000000
142,141,00000024,fe0006e3,0,00000000
143,142,00000010,00012283,5,00000018
144,143,00000014,005080b3,1,0000012c
145,144,00000018,00410113,2,00000060
146,145,0000001c,fff18193,3,00000008
147,146,00000020,00018463,0,00000000
148,147,00000024,fe0006e3,0,00000000
149,148,00000010,00012283,5,00000019
150,149,00000014,005080b3,1,00000145
151,150,00000018,00410113,2,00000064
152,151,0000001c,fff18193,3,00000007
153,152,00000020,00018463,0,00000000
154,153,00000024,fe0006e3,0,00000000
155,154,00000010,00012283,5,0000001a
156,155,00000014,005080b3,1,0000015f
157,156,00000018,00410113,2,00000068
158,157,0000001c,fff18193,3,00000006
159,158,00000020,00018463,0,00000000
160,159,00000024,fe0006e3,0,00000000
161,160,00000010,00012283,5,0000001b
162,161,00000014,005080b3,1,0000017a
163,162,00000018,00410113,2,0000006c
164,163,0000001c,fff18193,3,00000005
165,164,00000020,00018463,0,00000000
166,165,00000024,fe0006e3,0,00000000
167,166,00000010,00012283,5,0000001c
168,167,00000014,005080b3,1,00000196
169,168,00000018,00410113,2,00000070
170,169,0000001c,fff18193,3,00000004
171,170,00000020,00018463,0,00000000
172,171,00000024,fe0006e3,0,00000000
173,172,00000010,00012283,5,0000001d
174,173,00000014,005080b3,1,000001b3
175,174,00000018,00410113,2,00000074
176,175,0000001c,fff18193,3,00000003
177,176,00000020,00018463,0,00000000
178,177,00000024,fe0006e3,0,00000000
179,178,00000010,00012283,5,0000001e
180,179,00000014,005080b3,1,000001d1
181,180,00000018,00410113,2,00000078
182,181,0000001c,fff18193,3,00000002
183,182,00000020,00018463,0,00000000
184,183,00000024,fe0006e3,0,00000000
185,184,00000010,00012283,5,0000001f
186,185,00000014,005080b3,1,000001f0
187,186,00000018,00410113,2,0000007c
188,187,0000001c,fff18193,3,00000001
189,188,00000020,00018463,0,00000000
190,189,00000024,fe0006e3,0,00000000
191,190,00000010,00012283,5,00000020
192,191,00000014,005080b3,1,00000210
193,192,00000018,00410113,2,00000080
194,193,0000001c,fff18193,3,00000000
195,194,00000020,00018463,0,00000000
196,195,00000028,fff20213,4,00000003
197,196,0000002c,00020463,0,00000000
198,197,00000030,fc000ce3,0,00000000
199,198,00000008,00000113,2,00000000
200,199,0000000c,02000193,3,00000020
201,200,00000010,00012283,5,00000001
202,201,00000014,005080b3,1,00000211
203,202,00000018,00410113,2,00000004
204,203,0000001c,fff18193,3,0000001f
205,204,00000020,00018463,0,00000000
206,205,00000024,fe0006e3,0,00000000
207,206,00000010,00012283,5,00000002
208,207,00000014,005080b3,1,00000213
209,208,00000018,00410113,2,00000008
