cycle,index,pc,instruction,rd,value
1866,509,00000024,fe0006e3,0,00000000
1871,510,00000010,00012283,5,00000014
1876,511,00000014,005080b3,1,000004f2
1879,512,00000018,00410113,2,00000050
1882,513,0000001c,fff18193,3,0000000c
1885,514,00000020,00018463,0,00000000
1888,515,00000024,fe0006e3,0,00000000
1893,516,00000010,00012283,5,00000015
1898,517,00000014,005080b3,1,00000507
1901,518,00000018,00410113,2,00000054
1904,519,0000001c,fff18193,3,0000000b
1907,520,00000020,00018463,0,00000000
1910,521,00000024,fe0006e3,0,00000000
1915,522,00000010,00012283,5,00000016
1920,523,00000014,005080b3,1,0000051d
1923,524,00000018,00410113,2,00000058
1926,525,0000001c,fff18193,3,0000000a
1929,526,00000020,00018463,0,00000000
1932,527,00000024,fe0006e3,0,00000000
1937,528,00000010,00012283,5,00000017
1942,529,00000014,005080b3,1,00000534
1945,530,00000018,00410113,2,0000005c
1948,531,0000001c,fff18193,3,00000009
1951,532,00000020,00018463,0,00000000
1954,533,00000024,fe0006e3,0,00000000
1959,534,00000010,00012283,5,00000018
1964,535,00000014,005080b3,1,0000054c
1967,536,00000018,00410113,2,00000060
1970,537,0000001c,fff18193,3,00000008
1973,538,00000020,00018463,0,00000000
1976,539,00000024,fe0006e3,0,00000000
1981,540,00000010,00012283,5,00000019
1986,541,00000014,005080b3,1,00000565
1989,542,00000018,00410113,2,00000064
1992,543,0000001c,fff18193,3,00000007
1995,544,00000020,00018463,0,00000000
1998,545,00000024,fe0006e3,0,00000000
2003,546,00000010,00012283,5,0000001a
2008,547,00000014,005080b3,1,0000057f
2011,548,00000018,00410113,2,00000068
2014,549,0000001c,fff18193,3,00000006
2017,550,00000020,00018463,0,00000000
2020,551,00000024,fe0006e3,0,00000000
2025,552,00000010,00012283,5,0000001b
2030,553,00000014,005080b3,1,0000059a
2033,554,00000018,00410113,2,0000006c
2036,555,0000001c,fff18193,3,00000005
2039,556,00000020,00018463,0,00000000
2042,557,00000024,fe0006e3,0,00000000
2047,558,00000010,00012283,5,0000001c
2052,559,00000014,005080b3,1,000005b6
2055,560,00000018,00410113,2,00000070
2058,561,0000001c,fff18193,3,00000004
2061,562,00000020,00018463,0,00000000
2064,563,00000024,fe0006e3,0,00000000
2069,564,00000010,00012283,5,0000001d
2074,565,00000014,005080b3,1,000005d3
2077,566,00000018,00410113,2,00000074
2080,567,0000001c,fff18193,3,00000003
2083,568,00000020,00018463,0,00000000
2086,569,00000024,fe0006e3,0,00000000
2091,570,00000010,00012283,5,0000001e
2096,571,00000014,005080b3,1,000005f1
2099,572,00000018,00410113,2,00000078
2102,573,0000001c,fff18193,3,00000002
2105,574,00000020,00018463,0,00000000
2108,575,00000024,fe0006e3,0,00000000
2113,576,00000010,00012283,5,0000001f
2118,577,00000014,005080b3,1,00000610
2121,578,00000018,00410113,2,0000007c
2124,579,0000001c,fff18193,3,00000001
2127,580,00000020,00018463,0,00000000
2130,581,00000024,fe0006e3,0,00000000
2135,582,00000010,00012283,5,00000020
2140,583,00000014,005080b3,1,00000630
2143,584,00000018,00410113,2,00000080
2146,585,0000001c,fff18193,3,00000000
2149,586,00000020,00018463,0,00000000
2153,587,00000028,fff20213,4,00000001
2156,588,0000002c,00020463,0,00000000
2159,589,00000030,fc000ce3,0,00000000
2163,590,00000008,00000113,2,00000000
2166,591,0000000c,02000193,3,00000020
2170,592,00000010,00012283,5,00000001
2175,593,00000014,005080b3,1,00000631
2178,594,00000018,00410113,2,00000004
2181,595,0000001c,fff18193,3,0000001f
2184,596,00000020,00018463,0,00000000
2187,597,00000024,fe0006e3,0,00000000
2192,598,00000010,00012283,5,00000002
2197,599,00000014,005080b3,1,00000633
2200,600,00000018,00410113,2,00000008
2203,601,0000001c,fff18193,3,0000001e
2206,602,00000020,00018463,0,00000000
2209,603,00000024,fe0006e3,0,00000000
2214,604,00000010,00012283,5,00000003
2219,605,00000014,005080b3,1,00000636
2222,606,00000018,00410113,2,0000000c
2225,607,0000001c,fff18193,3,0000001d
2228,608,00000020,00018463,0,00000000
2231,609,00000024,fe0006e3,0,00000000
2236,610,00000010,00012283,5,00000004
2241,611,00000014,005080b3,1,0000063a
2244,612,00000018,00410113,2,00000010
2247,613,0000001c,fff18193,3,0000001c
2250,614,00000020,00018463,0,00000000
2253,615,00000024,fe0006e3,0,00000000
2258,616,00000010,00012283,5,00000005
2263,617,00000014,005080b3,1,0000063f
2266,618,00000018,00410113,2,00000014
2269,619,0000001c,fff18193,3,0000001b
2272,620,00000020,00018463,0,00000000
2275,621,00000024,fe0006e3,0,00000000
2280,622,00000010,00012283,5,00000006
2285,623,00000014,005080b3,1,00000645
2288,624,00000018,00410113,2,00000018
2291,625,0000001c,fff18193,3,0000001a
2294,626,00000020,00018463,0,00000000
2297,627,00000024,fe0006e3,0,00000000
2302,628,00000010,00012283,5,00000007
2307,629,00000014,005080b3,1,0000064c
2310,630,00000018,00410113,2,0000001c
2313,631,0000001c,fff18193,3,00000019
2316,632,00000020,00018463,0,00000000
2319,633,00000024,fe0006e3,0,00000000
2324,634,00000010,00012283,5,00000008
2329,635,00000014,005080b3,1,00000654
2332,636,00000018,00410113,2,00000020
2335,637,0000001c,fff18193,3,00000018
2338,638,00000020,00018463,0,00000000
2341,639,00000024,fe0006e3,0,00000000
2346,640,00000010,00012283,5,00000009
2351,641,00000014,005080b3,1,0000065d
2354,642,00000018,00410113,2,00000024
2357,643,0000001c,fff18193,3,00000017
